policy_index,rewards_mean,rewards_std,rewards_max,steps_max
1,69.782005,44.09513,257.0,2158.0
2,66.59901,39.978672,252.0,2063.0
3,67.882,43.67125,298.0,2298.0
4,68.053,48.0308,313.0,2426.0
5,69.759,45.670853,321.0,2458.0
6,70.869,45.93219,302.0,2286.0
7,65.647,42.316032,285.0,2213.0
8,61.512,40.806004,313.0,2271.0
9,68.601006,45.65711,297.0,2316.0
10,69.775,47.548046,368.0,2699.0
11,66.763,44.80298,295.0,2232.0
12,71.734,49.65591,354.0,2736.0
13,72.148,49.5394,380.0,2651.0
14,66.288,45.409573,303.0,2373.0
15,67.797005,48.316227,308.0,2289.0
16,64.694,39.792843,268.0,2185.0
17,68.874,42.58122,314.0,2380.0
18,68.826004,45.83983,376.0,2761.0
19,66.145004,46.140827,291.0,2281.0
20,63.999004,39.197536,250.0,2024.0
21,60.621002,38.2961,206.0,1856.0
22,65.787,40.330208,260.0,1962.0
23,70.712006,48.152435,352.0,2617.0
24,71.471,44.699566,316.0,2389.0
25,69.417,46.347893,318.0,2313.0
26,67.174,43.819695,287.0,2149.0
27,66.215004,42.36462,276.0,2186.0
28,67.22,45.330868,273.0,2198.0
29,65.401,42.811825,290.0,2410.0
30,73.095,48.191494,286.0,2296.0
31,62.665005,40.705143,296.0,2321.0
32,69.384,44.498478,355.0,2428.0
33,70.40501,47.182087,444.0,3140.0
34,68.442,45.504864,349.0,2658.0
35,69.637,45.596,321.0,2450.0
36,66.278,45.064495,314.0,2288.0
37,70.309006,45.172707,339.0,2531.0
38,68.179,46.56573,343.0,2594.0
39,70.547005,46.82068,419.0,3105.0
40,62.808002,41.270027,267.0,2092.0
41,67.311005,41.57302,259.0,2111.0
42,62.987003,39.577732,284.0,2206.0
43,69.475006,47.055813,272.0,2162.0
44,69.374,46.925755,332.0,2468.0
45,63.249004,43.706898,281.0,2363.0
46,66.042,43.98557,467.0,3363.0
47,65.804,40.155342,342.0,2602.0
48,69.031006,50.22159,483.0,3171.0
49,62.799004,40.13692,257.0,2171.0
50,67.013,44.294456,336.0,2538.0
