policy_index,rewards_mean,rewards_std,rewards_max,steps_max
1,549.135,533.92773,3296.0,30343.0
2,488.79,499.92697,3716.0,35171.0
3,563.83704,548.26514,4077.0,38701.0
4,547.653,553.3736,3726.0,34605.0
5,476.76,439.29187,2703.0,26901.0
6,426.958,437.54117,3545.0,35243.0
7,546.23004,541.6655,4990.0,49597.0
8,505.86102,495.46545,3418.0,32525.0
9,510.49902,497.7502,3335.0,31059.0
10,495.49402,484.3188,3362.0,32451.0
11,477.90002,451.31085,3392.0,33007.0
12,506.85202,506.83115,4409.0,41831.0
13,372.653,347.668,2793.0,26487.0
14,420.34802,391.88785,2242.0,22095.0
15,649.52203,644.72833,5606.0,51827.0
16,491.38803,466.55383,3427.0,31505.0
17,462.12503,434.42102,3252.0,31265.0
18,460.10303,432.71515,3450.0,31639.0
19,512.562,524.3254,3808.0,37361.0
20,367.67902,344.64542,2401.0,22741.0
21,417.49902,425.00208,4072.0,39359.0
22,550.09503,548.1077,4200.0,38555.0
23,283.25,277.70947,1836.0,17763.0
24,431.76703,427.0854,3871.0,36069.0
25,490.57803,505.84506,4496.0,41091.0
26,604.27704,622.482,5079.0,46981.0
27,417.22403,397.37466,2336.0,21399.0
28,438.69403,411.31125,2996.0,28041.0
29,522.822,535.14886,3958.0,37515.0
30,536.922,517.0779,3714.0,34419.0
31,458.90103,431.92435,3294.0,30535.0
32,456.338,461.79797,3149.0,30545.0
33,599.32605,607.94977,6742.0,62471.0
34,462.454,443.8013,4527.0,44157.0
35,512.43304,531.42,3362.0,33195.0
36,456.94904,441.50516,2427.0,22569.0
37,500.18002,496.9647,3782.0,36333.0
38,474.81802,491.6786,3933.0,38509.0
39,358.71802,343.53146,2069.0,20299.0
40,504.89502,474.36948,3025.0,29563.0
41,563.67505,585.4628,5827.0,53553.0
42,326.66702,314.78467,2575.0,25199.0
43,562.49304,560.8462,4262.0,39499.0
44,581.952,560.83295,3358.0,31185.0
45,503.95502,491.20407,4284.0,40875.0
46,446.26703,428.35516,3142.0,29369.0
47,261.168,256.96033,2422.0,23627.0
48,214.897,209.35835,1411.0,14073.0
49,501.44504,502.1664,3296.0,30851.0
50,450.28104,436.6864,3115.0,30411.0
51,553.13,550.1815,3938.0,36355.0
52,585.65,597.5028,3990.0,36827.0
53,452.18503,477.47906,3743.0,34651.0
54,513.67004,482.223,4264.0,40873.0
55,489.70203,474.05112,3386.0,31991.0
56,308.695,287.2967,2134.0,20321.0
57,485.571,480.78662,4952.0,48173.0
58,556.979,533.12256,5041.0,46479.0
59,525.19104,529.33374,3174.0,31355.0
60,264.156,255.24623,2391.0,24363.0
61,384.523,361.29816,2691.0,26293.0
62,363.85202,387.07324,2813.0,27881.0
63,411.28503,437.24347,3631.0,35531.0
64,580.01605,571.705,3865.0,35873.0
65,545.244,534.5752,4118.0,39475.0
66,495.29303,472.2783,4253.0,38903.0
67,367.419,375.6496,2675.0,25859.0
68,542.49506,521.7331,4198.0,39097.0
69,474.571,496.6149,4917.0,48069.0
70,533.638,507.13794,3149.0,29515.0
71,515.997,503.1313,4294.0,40305.0
72,394.48,385.7741,2784.0,26705.0
73,227.56801,205.27333,1587.0,14723.0
74,436.75403,436.47223,3202.0,32089.0
75,513.645,500.26437,3234.0,31419.0
76,470.13803,468.12143,3322.0,32543.0
77,440.55902,433.10904,2865.0,26339.0
78,503.394,514.3294,4135.0,39801.0
79,514.74304,528.85077,3577.0,33429.0
80,438.15503,430.16205,2905.0,28309.0
81,119.839005,124.83287,1066.0,11431.0
82,422.42902,404.34348,3685.0,36373.0
83,522.429,510.21954,3564.0,34817.0
84,540.59705,510.64804,3386.0,31619.0
85,231.20201,230.00452,2065.0,19333.0
86,522.33405,496.50284,2757.0,26037.0
87,272.596,249.54448,1946.0,18983.0
88,419.76102,404.2921,2960.0,29063.0
89,269.38,257.15353,1973.0,19721.0
90,516.866,517.10077,3476.0,32911.0
91,636.84705,624.1356,5186.0,48293.0
92,457.44702,466.0059,3237.0,30185.0
93,312.161,296.90485,2123.0,20429.0
94,505.91302,526.2967,4771.0,47021.0
95,380.69702,364.29425,2555.0,24879.0
96,492.226,472.51028,3235.0,29835.0
97,536.538,535.2891,4556.0,41975.0
98,366.28302,357.7664,2547.0,23669.0
99,475.65002,448.3757,3475.0,33195.0
100,503.16003,509.54507,3333.0,31159.0
101,521.556,475.56113,2966.0,28921.0
102,361.26602,356.31665,3224.0,31045.0
103,520.08105,515.5808,5513.0,53479.0
104,526.76,538.81915,4320.0,41749.0
105,433.53302,441.0386,3061.0,29715.0
106,328.488,339.5486,3188.0,31365.0
107,444.756,445.1578,3067.0,29909.0
108,204.06401,207.55911,1977.0,18501.0
109,511.562,473.16275,2961.0,27353.0
110,499.37302,466.21274,3142.0,28857.0
111,213.41801,206.39832,2066.0,20073.0
112,518.619,546.5046,5165.0,49775.0
