policy_index,rewards_mean,rewards_std,rewards_max,steps_max
1,68.698006,2.031944,75.0,2500.0
2,68.831,2.3749607,76.0,2500.0
3,68.83501,2.0302155,75.0,2500.0
4,68.740005,2.5734026,75.0,2500.0
5,68.968,2.1445222,76.0,2500.0
6,68.903,2.7139623,76.0,2500.0
7,68.935005,2.1542459,76.0,2500.0
8,68.958,2.133597,75.0,2500.0
9,68.917,2.2623243,75.0,2500.0
10,69.046005,1.9783539,77.0,2500.0
11,68.984,2.0503035,76.0,2500.0
12,68.948006,2.048242,75.0,2500.0
13,69.109,2.124881,74.0,2500.0
14,68.915,2.4305916,76.0,2500.0
15,68.819,2.1703084,76.0,2500.0
16,69.060005,2.0582519,75.0,2500.0
17,69.093,2.0209777,75.0,2500.0
18,68.844,2.1221838,75.0,2500.0
19,68.799,2.1772916,77.0,2500.0
20,68.943,2.0272522,75.0,2500.0
21,68.83501,2.5027535,75.0,2500.0
22,68.951004,2.0490484,75.0,2500.0
23,68.755005,2.2704573,75.0,2500.0
24,69.00101,2.0887794,75.0,2500.0
25,68.769005,2.1174607,76.0,2500.0
26,68.788,2.845884,76.0,2500.0
27,68.838005,2.6958773,76.0,2500.0
28,68.661,2.367716,74.0,2500.0
29,69.012,2.068298,75.0,2500.0
30,68.96001,2.0553346,75.0,2500.0
31,68.93301,2.092967,75.0,2500.0
32,68.646,2.417578,75.0,2500.0
33,69.026,2.1543732,76.0,2500.0
34,68.875,2.3382418,75.0,2500.0
35,69.121,2.0587275,75.0,2500.0
36,68.999,2.1943107,75.0,2500.0
37,69.020004,2.1418684,76.0,2500.0
38,68.929,2.0104625,77.0,2500.0
39,69.041,2.0691347,75.0,2500.0
40,68.996,2.062034,75.0,2500.0
41,68.995,2.0012434,75.0,2500.0
42,68.847,2.0788436,75.0,2500.0
43,69.01501,2.1096861,75.0,2500.0
44,68.97401,2.0320737,74.0,2500.0
45,68.83501,2.4750302,75.0,2500.0
46,68.951004,2.1115396,77.0,2500.0
47,68.834,2.080972,74.0,2500.0
48,68.872,2.1273496,74.0,2500.0
49,69.009,2.29933,76.0,2500.0
50,68.69,2.5059729,76.0,2500.0
