policy_index,rewards_mean,rewards_std,rewards_max,steps_max
1,152.511,74.64943,279.0,2491.0
2,154.826,77.61981,297.0,2563.0
3,154.69801,75.22696,283.0,2615.0
4,156.423,76.052795,285.0,2584.0
5,150.858,76.4407,290.0,2641.0
6,150.83601,74.20788,274.0,2459.0
7,149.125,77.5063,290.0,2572.0
8,163.684,80.23383,289.0,2507.0
9,152.113,75.053635,284.0,2505.0
10,148.444,75.47989,283.0,2717.0
11,157.17601,77.20463,288.0,2501.0
12,157.386,80.672806,292.0,2559.0
13,147.76901,78.672485,280.0,2555.0
14,145.324,77.28228,277.0,2534.0
15,156.147,78.490616,275.0,2451.0
16,147.34001,76.94257,280.0,2513.0
17,148.625,75.06376,282.0,2477.0
18,153.537,78.48877,300.0,2607.0
19,156.93701,79.95711,299.0,2655.0
20,154.08601,79.151695,290.0,2666.0
21,142.546,78.624916,292.0,2633.0
22,148.419,78.38867,293.0,2615.0
23,150.518,77.07443,284.0,2441.0
24,147.70001,77.61588,300.0,2557.0
25,157.354,78.867516,296.0,2620.0
26,146.20801,79.67782,288.0,2559.0
27,162.90701,77.90188,309.0,2598.0
28,152.472,81.99787,302.0,2614.0
29,138.92201,73.9593,272.0,2344.0
30,142.76201,80.25937,283.0,2645.0
31,155.138,82.03573,306.0,2657.0
32,164.576,81.22639,306.0,2651.0
33,163.917,74.109566,296.0,2601.0
34,154.71,80.076126,292.0,2443.0
35,150.647,80.72552,288.0,2622.0
36,151.93901,76.74202,288.0,2554.0
37,157.617,75.27757,301.0,2514.0
38,156.68001,77.9951,294.0,2582.0
39,161.44801,77.1192,294.0,2554.0
40,157.412,76.20701,299.0,2586.0
41,147.77,80.255974,281.0,2525.0
42,159.62701,75.34092,305.0,2706.0
43,151.55101,79.39186,292.0,2555.0
44,137.479,76.55154,293.0,2499.0
45,157.44,77.34824,289.0,2566.0
46,151.41301,78.07143,290.0,2586.0
47,147.403,75.91388,291.0,2519.0
48,165.024,76.331116,289.0,2571.0
49,142.862,75.710625,298.0,2563.0
50,153.983,78.094505,307.0,2640.0
