policy_index,rewards_mean,rewards_std,rewards_max,steps_max
1,861.335,811.134,5792.0,33796.0
2,893.301,830.0262,8192.0,48465.0
3,805.53,740.8938,4909.0,29006.0
4,986.5021,953.3113,6433.0,37501.0
5,971.14606,907.5062,7517.0,43726.0
6,752.91705,729.34644,6287.0,36991.0
7,867.293,873.6474,6766.0,39513.0
8,701.036,651.55786,4190.0,24675.0
9,853.05206,782.01874,4824.0,28724.0
10,910.05505,871.28357,5140.0,30366.0
11,914.25507,846.4945,6209.0,35993.0
12,815.575,731.3261,4558.0,26997.0
13,905.07404,895.064,5965.0,34965.0
14,736.90906,679.01764,4465.0,26321.0
15,760.452,733.2091,6914.0,40746.0
16,872.56006,858.21844,7846.0,45936.0
17,896.22107,890.4402,6001.0,35671.0
18,960.08105,918.94934,5423.0,32066.0
19,891.335,877.0739,6314.0,36976.0
20,896.2991,844.4589,5589.0,32825.0
21,834.04004,781.2508,6275.0,36366.0
22,804.72205,720.652,6571.0,38586.0
23,795.356,799.2683,5946.0,35016.0
24,784.921,729.6414,6229.0,36394.0
25,900.64703,891.07355,7098.0,41574.0
26,871.54504,865.2122,5926.0,35184.0
27,835.11707,835.3945,6067.0,35406.0
28,842.6091,796.7411,5807.0,33877.0
29,855.94305,781.078,5687.0,33575.0
30,953.02106,926.9463,6522.0,37944.0
31,756.478,692.9862,4487.0,26666.0
32,864.87305,808.5809,6119.0,36013.0
33,746.22406,695.599,4928.0,29315.0
34,836.87604,817.207,6505.0,38681.0
35,987.442,948.9897,7540.0,44625.0
36,881.7471,866.5261,7144.0,42095.0
37,921.12305,839.63715,6404.0,37652.0
38,774.564,718.3426,5102.0,30106.0
39,982.593,952.762,6791.0,39575.0
40,848.09204,822.6393,6431.0,37744.0
41,790.62604,743.2191,8254.0,48388.0
42,887.67206,866.31384,7664.0,45166.0
43,856.86804,794.1643,4871.0,28820.0
44,966.145,925.25146,6326.0,36704.0
45,905.52905,857.8985,6307.0,37086.0
46,786.46204,731.0994,7185.0,42595.0
47,861.70905,816.6126,4655.0,27117.0
48,799.721,742.4837,4346.0,25446.0
49,675.137,661.6023,5255.0,31088.0
50,814.155,778.4166,6215.0,36373.0
51,738.781,711.231,6681.0,39394.0
52,845.78906,789.838,5564.0,32556.0
53,959.27905,939.2778,7425.0,43455.0
54,887.92206,866.4179,6311.0,37038.0
55,933.53406,883.8857,6431.0,37655.0
56,830.12006,792.0861,5612.0,32925.0
57,765.63904,748.28326,6403.0,37746.0
58,842.968,799.72156,6649.0,39381.0
59,855.14404,797.89667,7959.0,46783.0
60,828.11505,815.6301,6407.0,37763.0
61,855.96606,815.3197,7226.0,42066.0
62,888.17505,871.3232,6729.0,39685.0
63,726.12604,695.3383,5315.0,31716.0
64,969.35803,922.60516,7654.0,44239.0
65,875.601,839.03546,4967.0,29401.0
66,882.202,850.36365,6185.0,36326.0
67,879.288,823.85046,5973.0,34696.0
68,840.11707,791.076,5366.0,31715.0
69,775.50806,761.0617,4843.0,28425.0
70,835.6091,823.27856,6208.0,36685.0
71,852.65607,843.08417,6334.0,37014.0
72,969.60406,919.25665,6259.0,37096.0
73,841.53705,760.5081,4961.0,29405.0
74,853.08,777.052,5195.0,30314.0
75,992.26807,930.8724,6524.0,38235.0
76,654.69403,545.5434,3702.0,21725.0
77,740.767,661.26135,5307.0,31595.0
78,782.23505,725.82825,5231.0,31195.0
79,758.02905,693.89606,4263.0,25063.0
80,731.155,695.8347,6287.0,36705.0
81,1014.12805,948.6417,5687.0,33374.0
82,861.80505,853.5786,7511.0,44272.0
83,841.317,794.6905,6375.0,38006.0
84,749.21606,672.0591,6407.0,37668.0
85,911.18506,866.6965,7150.0,41782.0
86,750.58905,708.6785,5410.0,31475.0
87,884.744,912.0162,8422.0,49115.0
88,904.65906,846.46216,5313.0,31465.0
89,812.85803,758.50977,5663.0,33527.0
90,958.00604,922.0416,6590.0,38836.0
91,921.6221,883.7541,5807.0,33999.0
92,982.46106,920.05743,7486.0,44134.0
93,996.2781,946.04535,6481.0,38331.0
94,749.11206,674.0949,5543.0,32343.0
95,838.51105,802.8676,7706.0,45316.0
96,934.89905,921.0536,9018.0,52706.0
97,828.81506,821.3007,5636.0,33034.0
98,875.98706,876.67725,5803.0,33754.0
99,799.49304,778.45233,6711.0,39525.0
100,797.49005,730.9613,4799.0,28364.0
