generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable,2_found_failures,2_mean_tcp_score,2_mean_failure_rate,2_qd_tcp_score,2_qd_failure_rate,2_added_to_archive,2_replaced_elite,2_num_valid_test_cases,2_num_sim_steps,2_not_confirmed_solvable,3_found_failures,3_mean_tcp_score,3_mean_failure_rate,3_qd_tcp_score,3_qd_failure_rate,3_added_to_archive,3_replaced_elite,3_num_valid_test_cases,3_num_sim_steps,3_not_confirmed_solvable,4_found_failures,4_mean_tcp_score,4_mean_failure_rate,4_qd_tcp_score,4_qd_failure_rate,4_added_to_archive,4_replaced_elite,4_num_valid_test_cases,4_num_sim_steps,4_not_confirmed_solvable,5_found_failures,5_mean_tcp_score,5_mean_failure_rate,5_qd_tcp_score,5_qd_failure_rate,5_added_to_archive,5_replaced_elite,5_num_valid_test_cases,5_num_sim_steps,5_not_confirmed_solvable,6_found_failures,6_mean_tcp_score,6_mean_failure_rate,6_qd_tcp_score,6_qd_failure_rate,6_added_to_archive,6_replaced_elite,6_num_valid_test_cases,6_num_sim_steps,6_not_confirmed_solvable,7_found_failures,7_mean_tcp_score,7_mean_failure_rate,7_qd_tcp_score,7_qd_failure_rate,7_added_to_archive,7_replaced_elite,7_num_valid_test_cases,7_num_sim_steps,7_not_confirmed_solvable,8_found_failures,8_mean_tcp_score,8_mean_failure_rate,8_qd_tcp_score,8_qd_failure_rate,8_added_to_archive,8_replaced_elite,8_num_valid_test_cases,8_num_sim_steps,8_not_confirmed_solvable,9_found_failures,9_mean_tcp_score,9_mean_failure_rate,9_qd_tcp_score,9_qd_failure_rate,9_added_to_archive,9_replaced_elite,9_num_valid_test_cases,9_num_sim_steps,9_not_confirmed_solvable,10_found_failures,10_mean_tcp_score,10_mean_failure_rate,10_qd_tcp_score,10_qd_failure_rate,10_added_to_archive,10_replaced_elite,10_num_valid_test_cases,10_num_sim_steps,10_not_confirmed_solvable,11_found_failures,11_mean_tcp_score,11_mean_failure_rate,11_qd_tcp_score,11_qd_failure_rate,11_added_to_archive,11_replaced_elite,11_num_valid_test_cases,11_num_sim_steps,11_not_confirmed_solvable,12_found_failures,12_mean_tcp_score,12_mean_failure_rate,12_qd_tcp_score,12_qd_failure_rate,12_added_to_archive,12_replaced_elite,12_num_valid_test_cases,12_num_sim_steps,12_not_confirmed_solvable,13_found_failures,13_mean_tcp_score,13_mean_failure_rate,13_qd_tcp_score,13_qd_failure_rate,13_added_to_archive,13_replaced_elite,13_num_valid_test_cases,13_num_sim_steps,13_not_confirmed_solvable,14_found_failures,14_mean_tcp_score,14_mean_failure_rate,14_qd_tcp_score,14_qd_failure_rate,14_added_to_archive,14_replaced_elite,14_num_valid_test_cases,14_num_sim_steps,14_not_confirmed_solvable,15_found_failures,15_mean_tcp_score,15_mean_failure_rate,15_qd_tcp_score,15_qd_failure_rate,15_added_to_archive,15_replaced_elite,15_num_valid_test_cases,15_num_sim_steps,15_not_confirmed_solvable,16_found_failures,16_mean_tcp_score,16_mean_failure_rate,16_qd_tcp_score,16_qd_failure_rate,16_added_to_archive,16_replaced_elite,16_num_valid_test_cases,16_num_sim_steps,16_not_confirmed_solvable,17_found_failures,17_mean_tcp_score,17_mean_failure_rate,17_qd_tcp_score,17_qd_failure_rate,17_added_to_archive,17_replaced_elite,17_num_valid_test_cases,17_num_sim_steps,17_not_confirmed_solvable,18_found_failures,18_mean_tcp_score,18_mean_failure_rate,18_qd_tcp_score,18_qd_failure_rate,18_added_to_archive,18_replaced_elite,18_num_valid_test_cases,18_num_sim_steps,18_not_confirmed_solvable,19_found_failures,19_mean_tcp_score,19_mean_failure_rate,19_qd_tcp_score,19_qd_failure_rate,19_added_to_archive,19_replaced_elite,19_num_valid_test_cases,19_num_sim_steps,19_not_confirmed_solvable,20_found_failures,20_mean_tcp_score,20_mean_failure_rate,20_qd_tcp_score,20_qd_failure_rate,20_added_to_archive,20_replaced_elite,20_num_valid_test_cases,20_num_sim_steps,20_not_confirmed_solvable
1,-1,nan,-1,0.0,-1,5,0,0,5500,0,-1,nan,-1,0.0,-1,5,0,0,11000,0,-1,nan,-1,0.0,-1,5,0,0,16500,0,-1,nan,-1,0.0,-1,5,0,0,22000,0,-1,nan,-1,0.0,-1,5,0,0,27500,0,-1,nan,-1,0.0,-1,5,0,0,33000,0,-1,nan,-1,0.0,-1,5,0,0,38500,0,-1,nan,-1,0.0,-1,5,0,0,44000,0,-1,nan,-1,0.0,-1,5,0,0,49500,0,-1,nan,-1,0.0,-1,5,0,0,55000,0,-1,nan,-1,0.0,-1,5,0,0,60500,0,-1,nan,-1,0.0,-1,5,0,0,66000,0,-1,nan,-1,0.0,-1,5,0,0,71500,0,-1,nan,-1,0.0,-1,5,0,0,77000,0,-1,nan,-1,0.0,-1,5,0,0,82500,0,-1,nan,-1,0.0,-1,5,0,0,88000,0,-1,nan,-1,0.0,-1,5,0,0,93500,0,-1,nan,-1,0.0,-1,5,0,0,99000,0,-1,nan,-1,0.0,-1,5,0,0,104500,0,-1,nan,-1,0.0,-1,5,0,0,110000,0
2,-1,nan,-1,0.0,-1,4,0,0,5500,0,-1,nan,-1,0.0,-1,4,0,0,11000,0,-1,nan,-1,0.0,-1,4,0,0,16500,0,-1,nan,-1,0.0,-1,4,0,0,22000,0,-1,nan,-1,0.0,-1,4,0,0,27500,0,-1,nan,-1,0.0,-1,4,0,0,33000,0,-1,nan,-1,0.0,-1,4,0,0,38500,0,-1,nan,-1,0.0,-1,4,0,0,44000,0,-1,nan,-1,0.0,-1,4,0,0,49500,0,-1,nan,-1,0.0,-1,4,0,0,55000,0,-1,nan,-1,0.0,-1,4,0,0,60500,0,-1,nan,-1,0.0,-1,4,0,0,66000,0,-1,nan,-1,0.0,-1,4,0,0,71500,0,-1,nan,-1,0.0,-1,4,0,0,77000,0,-1,nan,-1,0.0,-1,4,0,0,82500,0,-1,nan,-1,0.0,-1,4,0,0,88000,0,-1,nan,-1,0.0,-1,4,0,0,93500,0,-1,nan,-1,0.0,-1,4,0,0,99000,0,-1,nan,-1,0.0,-1,4,0,0,104500,0,-1,nan,-1,0.0,-1,4,0,0,110000,0
3,-1,nan,-1,0.0,-1,4,0,0,5500,0,-1,nan,-1,0.0,-1,4,0,0,11000,0,-1,nan,-1,0.0,-1,4,0,0,16500,0,-1,nan,-1,0.0,-1,4,0,0,22000,0,-1,nan,-1,0.0,-1,4,0,0,27500,0,-1,nan,-1,0.0,-1,4,0,0,33000,0,-1,nan,-1,0.0,-1,4,0,0,38500,0,-1,nan,-1,0.0,-1,4,0,0,44000,0,-1,nan,-1,0.0,-1,4,0,0,49500,0,-1,nan,-1,0.0,-1,4,0,0,55000,0,-1,nan,-1,0.0,-1,4,0,0,60500,0,-1,nan,-1,0.0,-1,4,0,0,66000,0,-1,nan,-1,0.0,-1,4,0,0,71500,0,-1,nan,-1,0.0,-1,4,0,0,77000,0,-1,nan,-1,0.0,-1,4,0,0,82500,0,-1,nan,-1,0.0,-1,4,0,0,88000,0,-1,nan,-1,0.0,-1,4,0,0,93500,0,-1,nan,-1,0.0,-1,4,0,0,99000,0,-1,nan,-1,0.0,-1,4,0,0,104500,0,-1,nan,-1,0.0,-1,4,0,0,110000,0
4,-1,1.0,-1,1.0,-1,5,1,1,5495,0,-1,0.5,-1,0.5,-1,5,1,1,10995,0,-1,0.33333334,-1,0.33333334,-1,5,1,1,16495,0,-1,0.25,-1,0.25,-1,5,1,1,21995,0,-1,0.2,-1,0.2,-1,5,1,1,27495,0,-1,0.16666667,-1,0.16666667,-1,5,1,1,32995,0,-1,0.14285715,-1,0.14285715,-1,5,1,1,38495,0,-1,0.125,-1,0.125,-1,5,1,1,43995,0,-1,0.11111111,-1,0.11111111,-1,5,1,1,49495,0,-1,0.1,-1,0.1,-1,5,1,1,54995,0,-1,0.18181819,-1,0.18181819,-1,5,1,1,60489,0,-1,0.16666667,-1,0.16666667,-1,5,1,1,65989,0,-1,0.15384616,-1,0.15384616,-1,5,1,1,71489,0,-1,0.14285715,-1,0.14285715,-1,5,1,1,76989,0,-1,0.13333334,-1,0.13333334,-1,5,1,1,82489,0,-1,0.125,-1,0.125,-1,5,1,1,87989,0,-1,0.11764706,-1,0.11764706,-1,5,1,1,93489,0,-1,0.11111111,-1,0.11111111,-1,5,1,1,98989,0,-1,0.10526316,-1,0.10526316,-1,5,1,1,104489,0,-1,0.1,-1,0.1,-1,5,1,1,109989,0
5,-1,1.0,-1,1.0,-1,4,0,1,5495,0,-1,0.5,-1,0.5,-1,4,0,1,10995,0,-1,0.33333334,-1,0.33333334,-1,4,0,1,16495,0,-1,0.25,-1,0.25,-1,4,0,1,21995,0,-1,0.2,-1,0.2,-1,4,0,1,27495,0,-1,0.16666667,-1,0.16666667,-1,4,0,1,32995,0,-1,0.14285715,-1,0.14285715,-1,4,0,1,38495,0,-1,0.125,-1,0.125,-1,4,0,1,43995,0,-1,0.11111111,-1,0.11111111,-1,4,0,1,49495,0,-1,0.1,-1,0.1,-1,4,0,1,54995,0,-1,0.18181819,-1,0.18181819,-1,4,0,1,60489,0,-1,0.16666667,-1,0.16666667,-1,4,0,1,65989,0,-1,0.15384616,-1,0.15384616,-1,4,0,1,71489,0,-1,0.14285715,-1,0.14285715,-1,4,0,1,76989,0,-1,0.13333334,-1,0.13333334,-1,4,0,1,82489,0,-1,0.125,-1,0.125,-1,4,0,1,87989,0,-1,0.11764706,-1,0.11764706,-1,4,0,1,93489,0,-1,0.11111111,-1,0.11111111,-1,4,0,1,98989,0,-1,0.10526316,-1,0.10526316,-1,4,0,1,104489,0,-1,0.1,-1,0.1,-1,4,0,1,109989,0
6,-1,1.0,-1,1.0,-1,7,0,1,5495,0,-1,0.5,-1,0.5,-1,7,0,1,10995,0,-1,0.33333334,-1,0.33333334,-1,7,0,1,16495,0,-1,0.25,-1,0.25,-1,7,0,1,21995,0,-1,0.2,-1,0.2,-1,7,0,1,27495,0,-1,0.16666667,-1,0.16666667,-1,7,0,1,32995,0,-1,0.14285715,-1,0.14285715,-1,7,0,1,38495,0,-1,0.125,-1,0.125,-1,7,0,1,43995,0,-1,0.11111111,-1,0.11111111,-1,7,0,1,49495,0,-1,0.1,-1,0.1,-1,7,0,1,54995,0,-1,0.18181819,-1,0.18181819,-1,7,0,1,60489,0,-1,0.16666667,-1,0.16666667,-1,7,0,1,65989,0,-1,0.15384616,-1,0.15384616,-1,7,0,1,71489,0,-1,0.14285715,-1,0.14285715,-1,7,0,1,76989,0,-1,0.13333334,-1,0.13333334,-1,7,0,1,82489,0,-1,0.125,-1,0.125,-1,7,0,1,87989,0,-1,0.11764706,-1,0.11764706,-1,7,0,1,93489,0,-1,0.11111111,-1,0.11111111,-1,7,0,1,98989,0,-1,0.10526316,-1,0.10526316,-1,7,0,1,104489,0,-1,0.1,-1,0.1,-1,7,0,1,109989,0
7,-1,1.0,-1,1.0,-1,6,0,1,5494,0,-1,0.5,-1,0.5,-1,6,0,1,10994,0,-1,0.33333334,-1,0.6666667,-1,6,1,2,16493,0,-1,0.25,-1,0.5,-1,6,1,2,21993,0,-1,0.2,-1,0.4,-1,6,1,2,27493,0,-1,0.16666667,-1,0.33333334,-1,6,1,2,32993,0,-1,0.14285715,-1,0.2857143,-1,6,1,2,38493,0,-1,0.125,-1,0.25,-1,6,1,2,43993,0,-1,0.11111111,-1,0.22222222,-1,6,1,2,49493,0,-1,0.1,-1,0.2,-1,6,1,2,54993,0,-1,0.13636364,-1,0.27272728,-1,6,1,2,60493,0,-1,0.125,-1,0.25,-1,6,1,2,65993,0,-1,0.11538462,-1,0.23076925,-1,6,1,2,71493,0,-1,0.107142866,-1,0.21428573,-1,6,1,2,76993,0,-1,0.10000001,-1,0.20000002,-1,6,1,2,82493,0,-1,0.09375,-1,0.1875,-1,6,1,2,87993,0,-1,0.0882353,-1,0.1764706,-1,6,1,2,93493,0,-1,0.083333336,-1,0.16666667,-1,6,1,2,98993,0,-1,0.078947365,-1,0.15789473,-1,6,1,2,104493,0,-1,0.075,-1,0.15,-1,6,1,2,109993,0
8,-1,1.0,-1,1.0,-1,2,0,1,5494,0,-1,0.5,-1,0.5,-1,2,0,1,10994,0,-1,0.33333334,-1,0.6666667,-1,2,0,2,16493,0,-1,0.25,-1,0.5,-1,2,0,2,21993,0,-1,0.2,-1,0.4,-1,2,0,2,27493,0,-1,0.16666667,-1,0.33333334,-1,2,0,2,32993,0,-1,0.14285716,-1,0.42857146,-1,2,0,3,38490,0,-1,0.125,-1,0.375,-1,2,0,3,43990,0,-1,0.11111112,-1,0.33333334,-1,2,0,3,49490,0,-1,0.10000001,-1,0.3,-1,2,0,3,54990,0,-1,0.121212125,-1,0.36363637,-1,2,0,3,60490,0,-1,0.11111112,-1,0.33333334,-1,2,0,3,65990,0,-1,0.10256411,-1,0.30769232,-1,2,0,3,71490,0,-1,0.095238104,-1,0.2857143,-1,2,0,3,76989,0,-1,0.0888889,-1,0.26666668,-1,2,0,3,82489,0,-1,0.10416667,-1,0.3125,-1,2,0,3,87986,0,-1,0.098039225,-1,0.29411766,-1,2,0,3,93486,0,-1,0.0925926,-1,0.2777778,-1,2,0,3,98986,0,-1,0.08771931,-1,0.2631579,-1,2,0,3,104486,0,-1,0.083333336,-1,0.25,-1,2,0,3,109986,0
9,-1,1.0,-1,1.0,-1,8,0,1,5494,0,-1,0.5,-1,0.5,-1,8,0,1,10994,0,-1,0.33333334,-1,0.6666667,-1,8,0,2,16493,0,-1,0.25,-1,0.5,-1,8,0,2,21993,0,-1,0.2,-1,0.4,-1,8,0,2,27493,0,-1,0.16666667,-1,0.33333334,-1,8,0,2,32993,0,-1,0.14285716,-1,0.42857146,-1,8,0,3,38490,0,-1,0.125,-1,0.375,-1,8,0,3,43990,0,-1,0.11111112,-1,0.33333334,-1,8,0,3,49490,0,-1,0.10000001,-1,0.3,-1,8,0,3,54990,0,-1,0.121212125,-1,0.36363637,-1,8,0,3,60490,0,-1,0.11111112,-1,0.33333334,-1,8,0,3,65990,0,-1,0.10256411,-1,0.30769232,-1,8,0,3,71490,0,-1,0.095238104,-1,0.2857143,-1,8,0,3,76989,0,-1,0.0888889,-1,0.26666668,-1,8,0,3,82489,0,-1,0.10416667,-1,0.3125,-1,8,0,3,87986,0,-1,0.098039225,-1,0.29411766,-1,8,0,3,93486,0,-1,0.0925926,-1,0.2777778,-1,8,0,3,98986,0,-1,0.08771931,-1,0.2631579,-1,8,0,3,104486,0,-1,0.083333336,-1,0.25,-1,8,0,3,109986,0
10,1,1.0,0.05,1.0,0.05,6,0,1,5500,0,1,0.5,0.05,0.5,0.05,6,0,1,11000,0,1,0.33333334,0.025,0.6666667,0.05,6,0,2,16500,0,1,0.25,0.025,0.5,0.05,6,0,2,22000,0,1,0.2,0.025,0.4,0.05,6,0,2,27500,0,1,0.16666667,0.025,0.33333334,0.05,6,0,2,33000,0,2,0.14285716,0.033333335,0.42857146,0.1,6,0,3,38497,0,2,0.125,0.033333335,0.375,0.1,6,0,3,43997,0,2,0.11111112,0.033333335,0.33333334,0.1,6,0,3,49497,0,2,0.10000001,0.033333335,0.3,0.1,6,0,3,54997,0,2,0.121212125,0.033333335,0.36363637,0.1,6,0,3,60497,0,2,0.11111112,0.033333335,0.33333334,0.1,6,0,3,65997,0,2,0.10256411,0.033333335,0.30769232,0.1,6,0,3,71497,0,2,0.095238104,0.033333335,0.2857143,0.1,6,0,3,76997,0,2,0.0888889,0.033333335,0.26666668,0.1,6,0,3,82497,0,2,0.10416667,0.033333335,0.3125,0.1,6,0,3,87994,0,2,0.098039225,0.033333335,0.29411766,0.1,6,0,3,93494,0,2,0.0925926,0.033333335,0.2777778,0.1,6,0,3,98994,0,2,0.08771931,0.033333335,0.2631579,0.1,6,0,3,104494,0,2,0.083333336,0.033333335,0.25,0.1,6,0,3,109994,0
11,-1,1.0,-1,1.0,-1,4,0,1,5500,0,-1,0.5,-1,0.5,-1,4,0,1,11000,0,-1,0.33333334,-1,0.6666667,-1,4,0,2,16500,0,-1,0.25,-1,0.5,-1,4,0,2,22000,0,-1,0.2,-1,0.4,-1,4,0,2,27500,0,-1,0.16666667,-1,0.33333334,-1,4,0,2,33000,0,-1,0.14285716,-1,0.42857146,-1,4,0,3,38500,0,-1,0.125,-1,0.375,-1,4,0,3,44000,0,-1,0.11111112,-1,0.33333334,-1,4,0,3,49500,0,-1,0.10000001,-1,0.3,-1,4,0,3,55000,0,-1,0.121212125,-1,0.36363637,-1,4,0,3,60500,0,-1,0.11111112,-1,0.33333334,-1,4,0,3,66000,0,-1,0.10256411,-1,0.30769232,-1,4,0,3,71500,0,-1,0.095238104,-1,0.2857143,-1,4,0,3,77000,0,-1,0.0888889,-1,0.26666668,-1,4,0,3,82500,0,-1,0.10416667,-1,0.3125,-1,4,0,3,87990,0,-1,0.098039225,-1,0.29411766,-1,4,0,3,93490,0,-1,0.0925926,-1,0.2777778,-1,4,0,3,98990,0,-1,0.08771931,-1,0.2631579,-1,4,0,3,104490,0,-1,0.083333336,-1,0.25,-1,4,0,3,109990,0
12,-1,1.0,-1,1.0,-1,7,0,1,5500,0,-1,0.5,-1,0.5,-1,7,0,1,11000,0,-1,0.33333334,-1,0.6666667,-1,7,0,2,16500,0,-1,0.25,-1,0.5,-1,7,0,2,22000,0,-1,0.2,-1,0.4,-1,7,0,2,27500,0,-1,0.16666667,-1,0.5,-1,7,1,3,32998,0,-1,0.14285716,-1,0.42857146,-1,7,0,3,38498,0,-1,0.125,-1,0.375,-1,7,0,3,43998,0,-1,0.11111112,-1,0.33333334,-1,7,0,3,49498,0,-1,0.10000001,-1,0.3,-1,7,0,3,54998,0,-1,0.121212125,-1,0.36363637,-1,7,0,3,60498,0,-1,0.1388889,-1,0.4166667,-1,7,1,3,65996,0,-1,0.15384617,-1,0.4615385,-1,7,1,3,71489,0,-1,0.14285716,-1,0.42857146,-1,7,1,3,76989,0,-1,0.13333336,-1,0.40000004,-1,7,1,3,82489,0,-1,0.14583334,-1,0.4375,-1,7,1,3,87972,0,-1,0.13725491,-1,0.4117647,-1,7,1,3,93472,0,-1,0.14814816,-1,0.44444448,-1,7,1,3,98965,0,-1,0.118421055,-1,0.47368422,-1,7,1,4,104457,0,-1,0.112500004,-1,0.45000002,-1,7,1,4,109957,0
13,-1,1.0,-1,1.0,-1,6,0,1,5500,0,-1,0.5,-1,0.5,-1,6,0,1,11000,0,-1,0.33333334,-1,0.6666667,-1,6,0,2,16500,0,-1,0.25,-1,0.5,-1,6,0,2,22000,0,-1,0.2,-1,0.4,-1,6,0,2,27498,0,-1,0.16666667,-1,0.5,-1,6,0,3,32996,0,-1,0.14285716,-1,0.42857146,-1,6,0,3,38496,0,-1,0.125,-1,0.375,-1,6,0,3,43996,0,-1,0.11111112,-1,0.33333334,-1,6,0,3,49496,0,-1,0.10000001,-1,0.3,-1,6,0,3,54996,0,-1,0.121212125,-1,0.36363637,-1,6,0,3,60496,0,-1,0.1388889,-1,0.4166667,-1,6,0,3,65994,0,-1,0.15384617,-1,0.4615385,-1,6,0,3,71487,0,-1,0.14285716,-1,0.42857146,-1,6,0,3,76987,0,-1,0.13333336,-1,0.40000004,-1,6,0,3,82487,0,-1,0.14583334,-1,0.4375,-1,6,0,3,87970,0,-1,0.13725491,-1,0.4117647,-1,6,0,3,93470,0,-1,0.14814816,-1,0.44444448,-1,6,0,3,98963,0,-1,0.118421055,-1,0.47368422,-1,6,0,4,104455,0,-1,0.1,-1,0.5,-1,6,1,5,109954,0
