generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
1,0,nan,-1,0.0,-1,4,0,0,2200,0
2,0,nan,-1,0.0,-1,3,0,0,2200,0
3,0,nan,-1,0.0,-1,3,0,0,2200,0
4,0,nan,-1,0.0,-1,1,0,0,2200,0
5,0,nan,-1,0.0,-1,7,0,0,2200,0
6,0,nan,-1,0.0,-1,6,0,0,2200,0
7,0,nan,-1,0.0,-1,4,0,0,2200,0
8,0,nan,-1,0.0,-1,3,0,0,2200,0
9,0,nan,-1,0.0,-1,3,0,0,2200,0
10,0,nan,-1,0.0,-1,4,0,0,2200,0
11,0,nan,-1,0.0,-1,4,0,0,2200,0
12,0,nan,-1,0.0,-1,4,0,0,2200,0
13,1,1.0,-1,1.0,-1,3,0,1,2193,0
14,1,1.0,-1,1.0,-1,5,0,1,2193,0
15,1,1.0,-1,1.0,-1,5,0,1,2193,0
16,1,1.0,-1,1.0,-1,5,0,1,2193,0
17,0,1.0,-1,1.0,-1,4,0,1,2200,0
18,0,1.0,-1,1.0,-1,2,0,1,2200,0
19,0,1.0,-1,1.0,-1,4,0,1,2200,0
20,0,1.0,0.3,1.0,0.3,5,0,1,2200,0
21,0,1.0,-1,1.0,-1,7,0,1,2200,0
22,0,1.0,-1,1.0,-1,7,0,1,2200,0
23,1,1.0,-1,2.0,-1,8,0,2,2192,0
24,151,1.0,-1,16.0,-1,22,5,16,970,4
25,158,1.0,-1,33.0,-1,24,2,33,926,2
26,155,1.0,-1,59.0,-1,37,6,59,911,3
27,163,1.0,-1,95.0,-1,38,7,95,896,1
28,158,1.0,-1,120.0,-1,43,2,120,949,2
29,158,1.0,-1,144.0,-1,34,3,144,998,0
30,152,1.0,-1,167.0,-1,46,4,167,975,5
31,171,0.99999994,-1,194.0,-1,29,6,194,886,0
32,154,1.0,-1,213.0,-1,31,6,213,1014,2
33,153,1.0,-1,240.0,-1,38,4,240,1005,1
34,153,1.0,-1,271.0,-1,42,6,271,987,4
35,155,1.0,-1,287.0,-1,27,1,287,989,2
36,157,1.0,-1,316.0,-1,39,4,316,957,1
37,152,1.0,-1,339.0,-1,35,3,339,1001,1
38,157,1.0,-1,362.0,-1,36,4,362,951,4
39,147,1.0,-1,381.0,-1,27,4,381,1025,4
40,159,1.0,0.5371859,398.0,213.8,21,6,398,958,1
41,159,1.0,-1,414.0,-1,27,4,414,910,4
42,164,0.99999994,-1,440.0,-1,34,6,440,940,0
43,165,1.0,-1,456.0,-1,25,1,456,917,0
44,148,1.0,-1,471.0,-1,24,4,471,1058,4
45,157,0.99999994,-1,498.0,-1,28,6,498,981,1
46,156,1.0,-1,523.0,-1,24,8,523,1008,1
47,165,1.0,-1,548.0,-1,28,5,548,902,2
48,155,1.0,-1,576.0,-1,33,7,576,1044,0
49,159,1.0,-1,593.0,-1,27,2,593,946,2
50,150,1.0,-1,615.0,-1,23,9,615,986,3
51,155,1.0,-1,630.0,-1,19,4,630,1000,2
52,154,1.0,-1,645.0,-1,17,5,645,939,2
53,158,1.0,-1,659.0,-1,17,7,659,968,1
54,158,1.0,-1,676.0,-1,24,5,676,978,2
55,163,1.0,-1,692.0,-1,17,6,692,873,5
56,144,1.0,-1,709.0,-1,30,3,709,1108,3
57,161,1.0,-1,725.0,-1,20,6,725,924,3
58,153,1.0,-1,742.0,-1,29,4,742,966,2
59,160,1.0,-1,753.0,-1,17,5,753,922,0
60,168,1.0,0.53313804,768.0,409.45,16,5,768,861,3
61,162,1.0,-1,792.0,-1,27,6,792,928,2
