generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
1,3,1.0,-1,3.0,-1,55,0,3,2176,1
2,2,1.0,-1,3.0,-1,35,0,3,2181,1
3,4,1.0,-1,6.0,-1,36,2,6,2160,2
4,86,1.0,-1,16.0,-1,40,3,16,1583,15
5,95,1.0,-1,21.0,-1,29,2,21,1553,11
6,119,0.99999994,-1,41.0,-1,23,11,41,1411,8
7,113,1.0,-1,52.0,-1,25,5,52,1405,10
8,122,1.0,-1,62.0,-1,21,5,62,1344,13
9,134,1.0,-1,74.0,-1,24,5,74,1277,14
10,127,1.0,-1,90.0,-1,22,9,90,1378,8
11,116,1.0,-1,100.0,-1,22,5,100,1423,13
12,121,1.0,-1,103.0,-1,17,2,103,1383,10
13,121,1.0,-1,111.0,-1,17,2,111,1411,7
14,122,0.99999994,-1,121.0,-1,17,4,121,1345,15
15,119,0.99999994,-1,123.0,-1,17,1,123,1485,4
16,128,1.0,-1,129.0,-1,16,1,129,1351,11
17,119,1.0,-1,142.0,-1,17,7,142,1370,12
18,114,1.0,-1,148.0,-1,22,3,148,1427,11
19,116,1.0,-1,162.0,-1,19,7,162,1404,11
20,118,1.0,0.1883041,171.0,32.2,21,5,171,1379,12
21,111,1.0,-1,173.0,-1,9,2,173,1399,20
22,100,1.0,-1,175.0,-1,16,1,175,1486,12
23,121,1.0,-1,178.0,-1,11,2,178,1311,16
24,128,1.0,-1,191.0,-1,15,4,191,1304,16
25,120,1.0,-1,196.0,-1,20,2,196,1414,9
26,123,1.0,-1,204.0,-1,8,6,204,1351,12
27,121,1.0,-1,210.0,-1,15,5,210,1380,12
28,119,1.0,-1,216.0,-1,11,2,216,1366,14
29,122,1.0,-1,224.0,-1,14,5,224,1337,16
30,125,1.0,-1,233.0,-1,9,7,233,1326,15
31,126,0.99999994,-1,244.0,-1,12,6,244,1372,9
32,126,1.0,-1,251.0,-1,9,5,251,1351,13
33,120,1.0,-1,257.0,-1,13,3,257,1349,16
34,119,1.0,-1,263.0,-1,13,4,263,1390,19
35,127,1.0,-1,270.0,-1,10,6,270,1375,13
36,125,1.0,-1,280.0,-1,16,5,280,1412,9
37,121,1.0,-1,292.0,-1,15,6,292,1448,8
38,110,1.0,-1,299.0,-1,14,7,299,1407,20
39,116,1.0,-1,304.0,-1,4,4,304,1365,17
40,115,1.0,0.20822786,316.0,65.8,9,10,316,1435,13
41,125,1.0,-1,324.0,-1,10,4,324,1350,18
42,119,1.0,-1,329.0,-1,7,4,329,1473,9
43,116,0.99999994,-1,332.0,-1,10,2,332,1450,9
44,106,1.0,-1,339.0,-1,9,3,339,1455,18
45,130,1.0,-1,344.0,-1,8,4,344,1361,13
46,123,1.0,-1,349.0,-1,6,4,349,1405,9
47,118,0.99999994,-1,355.0,-1,11,2,355,1410,16
48,135,1.0,-1,359.0,-1,9,1,359,1384,7
49,115,1.0,-1,362.0,-1,8,0,362,1384,18
50,106,1.0,-1,363.0,-1,13,1,363,1380,24
51,122,1.0,-1,370.0,-1,10,5,370,1414,9
52,117,1.0,-1,374.0,-1,10,2,374,1430,13
53,128,0.99999994,-1,378.0,-1,7,2,378,1279,16
54,113,1.0,-1,382.0,-1,10,4,382,1404,14
55,125,1.0,-1,387.0,-1,6,3,387,1402,9
56,134,1.0,-1,391.0,-1,6,3,391,1335,8
57,130,1.0,-1,394.0,-1,8,3,394,1377,11
58,130,1.0,-1,398.0,-1,6,2,398,1368,9
59,132,1.0,-1,406.0,-1,3,6,406,1351,7
60,120,1.0,0.20439026,410.0,83.8,3,3,410,1343,17
61,124,1.0,-1,415.0,-1,4,5,415,1404,13
62,120,1.0,-1,420.0,-1,7,4,420,1346,16
63,123,1.0,-1,426.0,-1,5,5,426,1311,15
64,111,1.0,-1,429.0,-1,6,2,429,1548,8
65,124,1.0,-1,442.0,-1,10,11,442,1407,15
66,131,1.0,-1,447.0,-1,3,5,447,1348,16
67,128,1.0,-1,449.0,-1,4,2,449,1341,10
68,112,1.0,-1,455.0,-1,6,6,455,1468,15
69,135,1.0,-1,462.0,-1,2,6,462,1334,9
70,120,1.0,-1,465.0,-1,4,3,465,1422,14
71,128,1.0,-1,467.0,-1,5,0,467,1403,13
72,118,1.0,-1,472.0,-1,2,5,472,1459,12
73,121,1.0,-1,478.0,-1,4,5,478,1433,6
74,135,1.0,-1,481.0,-1,9,2,481,1312,11
75,121,0.99999994,-1,484.0,-1,7,3,484,1377,11
76,129,1.0,-1,485.0,-1,2,1,485,1348,16
77,121,0.99999994,-1,488.0,-1,5,3,488,1411,13
78,125,1.0,-1,495.0,-1,9,5,495,1303,16
79,121,0.99999994,-1,498.0,-1,2,3,498,1401,17
80,131,1.0,0.20727094,502.0,104.05,4,4,502,1341,10
81,125,1.0,-1,504.0,-1,4,2,504,1422,11
82,119,1.0,-1,505.0,-1,1,0,505,1417,12
83,117,1.0,-1,510.0,-1,4,5,510,1371,16
84,127,1.0,-1,513.0,-1,1,3,513,1410,13
85,112,1.0,-1,515.0,-1,4,2,515,1442,13
86,128,1.0,-1,518.0,-1,2,3,518,1341,15
87,119,1.0,-1,525.0,-1,8,4,525,1399,17
88,127,1.0,-1,530.0,-1,5,4,530,1334,19
89,111,1.0,-1,532.0,-1,6,1,532,1461,6
90,115,1.0,-1,533.0,-1,6,1,533,1444,12
91,120,1.0,-1,539.0,-1,2,5,539,1414,13
92,117,1.0,-1,540.0,-1,2,1,540,1446,14
93,131,1.0,-1,544.0,-1,2,4,544,1333,11
94,115,1.0,-1,545.0,-1,6,1,545,1402,15
95,124,1.0,-1,550.0,-1,4,4,550,1377,13
96,121,1.0,-1,558.0,-1,3,7,558,1399,15
97,117,1.0,-1,562.0,-1,3,3,562,1456,12
98,135,1.0,-1,565.0,-1,0,3,565,1294,16
99,123,1.0,-1,566.0,-1,4,1,566,1367,17
100,116,1.0,0.20777386,566.0,117.600006,4,0,566,1458,11
101,114,0.99999994,-1,567.0,-1,4,0,567,1372,22
102,134,1.0,-1,570.0,-1,2,3,570,1404,8
103,130,1.0,-1,571.0,-1,2,1,571,1320,17
104,127,1.0,-1,577.0,-1,6,6,577,1352,17
105,127,1.0,-1,582.0,-1,1,4,582,1339,17
106,130,1.0,-1,590.0,-1,2,8,590,1382,12
107,128,1.0,-1,591.0,-1,6,1,591,1383,9
108,121,1.0,-1,593.0,-1,0,2,593,1453,15
109,122,1.0,-1,594.0,-1,3,1,594,1445,10
110,139,1.0,-1,596.0,-1,2,2,596,1334,6
111,112,1.0,-1,597.0,-1,3,1,597,1489,11
112,116,1.0,-1,601.0,-1,3,4,601,1453,10
113,125,1.0,-1,605.0,-1,5,3,605,1407,12
114,135,1.0,-1,606.0,-1,2,1,606,1288,11
115,128,1.0,-1,609.0,-1,3,3,609,1381,11
116,126,1.0,-1,615.0,-1,2,6,615,1355,13
117,125,1.0,-1,616.0,-1,4,1,616,1393,10
118,120,1.0,-1,619.0,-1,3,3,619,1430,11
119,112,1.0,-1,623.0,-1,1,4,623,1414,20
120,134,1.0,0.20781499,627.0,130.3,3,3,627,1319,15
121,122,1.0,-1,632.0,-1,2,5,632,1334,19
122,117,1.0,-1,635.0,-1,5,2,635,1424,11
123,132,1.0,-1,639.0,-1,0,4,639,1340,15
124,133,1.0,-1,645.0,-1,2,6,645,1380,11
125,136,1.0,-1,651.0,-1,1,6,651,1383,7
126,127,1.0,-1,654.0,-1,3,3,654,1404,9
127,109,0.99999994,-1,656.0,-1,2,2,656,1480,11
128,118,0.99999994,-1,660.0,-1,4,4,660,1397,18
129,133,1.0,-1,663.0,-1,0,3,663,1373,11
130,122,0.99999994,-1,664.0,-1,2,1,664,1435,7
