generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
1,0,nan,-1,0.0,-1,20,0,0,2200,0
2,0,nan,-1,0.0,-1,7,0,0,2200,0
3,0,nan,-1,0.0,-1,8,0,0,2200,0
4,0,nan,-1,0.0,-1,3,0,0,2200,0
5,0,nan,-1,0.0,-1,2,0,0,2200,0
6,0,nan,-1,0.0,-1,1,0,0,2200,0
7,1,1.0,-1,1.0,-1,2,1,1,2193,0
8,0,1.0,-1,1.0,-1,3,0,1,2200,0
9,3,1.0,-1,4.0,-1,1,3,4,2187,0
10,4,1.0,-1,6.0,-1,1,2,6,2173,0
11,4,1.0,-1,8.0,-1,1,2,8,2173,0
12,2,1.0,-1,8.0,-1,1,0,8,2184,0
13,2,1.0,-1,8.0,-1,2,0,8,2174,1
14,4,1.0,-1,9.0,-1,1,1,9,2163,1
15,5,1.0,-1,11.0,-1,3,2,11,2162,1
16,5,1.0,-1,11.0,-1,3,0,11,2162,1
17,7,1.0,-1,13.0,-1,5,2,13,2139,2
18,7,1.0,-1,14.0,-1,5,1,14,2131,3
19,3,1.0,-1,14.0,-1,1,0,14,2164,3
20,3,1.0,0.25,15.0,3.75,1,1,15,2161,3
21,3,1.0,-1,17.0,-1,4,2,17,2140,4
22,3,1.0,-1,17.0,-1,3,0,17,2140,4
23,5,1.0,-1,18.0,-1,4,1,18,2130,4
24,5,1.0,-1,19.0,-1,3,1,19,2117,6
25,6,1.0,-1,20.0,-1,6,1,20,2105,7
26,7,1.0,-1,21.0,-1,7,1,21,2078,9
27,8,1.0,-1,24.0,-1,11,3,24,2048,11
28,110,1.0,-1,32.0,-1,6,4,32,1216,6
29,108,1.0,-1,46.0,-1,13,4,46,1275,5
30,120,1.0,-1,75.0,-1,34,5,75,1142,7
31,134,1.0,-1,102.0,-1,31,6,102,1085,5
32,142,1.0,-1,143.0,-1,51,4,143,934,13
33,143,0.99999994,-1,188.0,-1,62,3,188,895,18
34,142,1.0,-1,234.0,-1,58,4,234,961,18
35,152,1.0,-1,274.0,-1,52,7,274,913,16
36,157,1.0,-1,324.0,-1,62,5,324,887,16
37,148,1.0,-1,379.0,-1,66,6,379,962,15
38,153,1.0,-1,432.0,-1,68,9,432,867,16
39,149,1.0,-1,479.0,-1,55,6,479,943,15
40,150,1.0,0.53962815,511.0,275.75,38,9,511,888,26
41,139,1.0,-1,552.0,-1,54,6,552,1058,14
42,160,1.0,-1,600.0,-1,51,6,600,922,15
43,157,1.0,-1,651.0,-1,50,12,651,943,11
44,159,1.0,-1,694.0,-1,43,8,694,927,14
45,163,1.0,-1,736.0,-1,43,5,736,925,10
46,151,1.0,-1,769.0,-1,41,6,769,913,24
47,149,1.0,-1,797.0,-1,33,5,797,942,19
48,142,1.0,-1,831.0,-1,35,10,831,979,17
49,146,1.0,-1,871.0,-1,38,12,871,928,20
50,152,1.0,-1,896.0,-1,28,7,896,950,15
51,151,0.99999994,-1,917.0,-1,19,8,917,943,20
52,146,1.0,-1,936.0,-1,30,3,936,984,16
53,152,1.0,-1,970.0,-1,34,9,970,877,18
54,155,1.0,-1,1008.0,-1,32,12,1008,883,21
55,160,1.0,-1,1036.0,-1,25,11,1036,839,19
56,149,1.0,-1,1066.0,-1,28,9,1066,941,21
57,168,1.0,-1,1095.0,-1,24,7,1095,859,11
58,151,1.0,-1,1119.0,-1,25,6,1119,943,19
59,153,1.0,-1,1136.0,-1,19,2,1136,939,18
60,159,1.0,0.54254955,1161.0,629.9,24,6,1161,868,16
61,151,1.0,-1,1193.0,-1,27,9,1193,888,17
62,153,1.0,-1,1217.0,-1,26,7,1217,859,23
63,144,1.0,-1,1235.0,-1,21,4,1235,955,19
64,151,1.0,-1,1251.0,-1,22,5,1251,909,15
65,156,1.0,-1,1279.0,-1,31,4,1279,892,16
66,155,0.99999994,-1,1299.0,-1,16,9,1299,857,14
67,148,0.99999994,-1,1312.0,-1,15,4,1312,937,21
68,143,1.0,-1,1334.0,-1,21,4,1334,979,23
69,151,0.99999994,-1,1351.0,-1,15,6,1351,915,16
70,157,1.0,-1,1374.0,-1,14,10,1374,865,14
71,159,1.0,-1,1394.0,-1,16,7,1394,903,14
72,155,1.0,-1,1412.0,-1,12,10,1412,898,15
73,158,1.0,-1,1434.0,-1,19,6,1434,887,16
74,155,1.0,-1,1454.0,-1,15,6,1454,893,17
75,166,1.0,-1,1477.0,-1,17,8,1477,828,15
76,150,0.99999994,-1,1491.0,-1,14,5,1491,933,18
77,157,1.0,-1,1506.0,-1,14,4,1506,883,21
78,153,1.0,-1,1519.0,-1,16,2,1519,958,15
79,136,0.99999994,-1,1529.0,-1,9,4,1529,995,22
80,157,1.0,0.5353285,1537.0,822.7999,6,3,1537,896,18
81,153,1.0,-1,1549.0,-1,15,4,1549,961,14
