generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
1,8,1.0,-1,8.0,-1,43,0,8,2075,15
2,10,1.0,-1,14.0,-1,32,0,14,2006,26
3,16,1.0,-1,23.0,-1,36,0,23,1884,42
4,152,1.0,-1,72.0,-1,69,10,72,1161,36
5,148,1.0,-1,111.0,-1,50,15,111,1057,48
6,132,1.0,-1,150.0,-1,67,5,150,1178,50
7,145,0.99999994,-1,188.0,-1,49,7,188,1153,42
8,141,1.0,-1,221.0,-1,49,7,221,1157,46
9,144,1.0,-1,256.0,-1,44,10,256,1146,45
10,153,1.0,-1,291.0,-1,42,10,291,1116,42
11,133,1.0,-1,304.0,-1,33,2,304,1111,55
12,137,1.0,-1,338.0,-1,49,6,338,1195,50
13,140,1.0,-1,368.0,-1,38,6,368,1109,53
14,139,1.0,-1,393.0,-1,32,10,393,1143,48
15,139,1.0,-1,416.0,-1,32,6,416,1132,49
16,144,0.99999994,-1,440.0,-1,40,3,440,1097,49
17,131,1.0,-1,473.0,-1,42,7,473,1174,56
18,155,1.0,-1,506.0,-1,29,10,506,1140,39
19,158,1.0,-1,530.0,-1,29,7,530,1125,35
20,130,1.0,0.87333333,555.0,484.7,35,8,555,1143,59
21,147,1.0,-1,579.0,-1,32,6,579,1133,41
22,150,1.0,-1,604.0,-1,28,10,604,1139,43
23,136,1.0,-1,624.0,-1,33,8,624,1121,54
24,153,1.0,-1,644.0,-1,28,6,644,1163,40
25,151,1.0,-1,670.0,-1,31,6,670,1194,38
26,129,1.0,-1,696.0,-1,33,11,696,1127,61
27,130,1.0,-1,714.0,-1,28,5,714,1156,50
28,151,1.0,-1,734.0,-1,23,7,734,1136,39
29,145,1.0,-1,750.0,-1,23,3,750,1187,45
30,147,1.0,-1,773.0,-1,27,8,773,1133,43
31,146,0.99999994,-1,794.0,-1,22,5,794,1155,45
32,136,1.0,-1,813.0,-1,29,8,813,1208,53
33,131,1.0,-1,835.0,-1,27,6,835,1132,59
34,138,0.99999994,-1,856.0,-1,20,11,856,1125,52
35,141,1.0,-1,878.0,-1,24,10,878,1109,55
36,146,1.0,-1,896.0,-1,23,6,896,1116,48
37,146,1.0,-1,913.0,-1,21,6,913,1160,45
38,145,1.0,-1,937.0,-1,22,11,937,1206,43
39,147,1.0,-1,957.0,-1,17,11,957,1121,45
40,141,1.0,0.8748978,978.0,855.65,17,9,978,1196,44
41,132,1.0,-1,995.0,-1,17,6,995,1156,54
42,151,1.0,-1,1014.0,-1,17,7,1014,1174,37
43,144,1.0,-1,1026.0,-1,17,3,1026,1157,44
44,144,1.0,-1,1045.0,-1,14,10,1045,1128,48
45,140,1.0,-1,1062.0,-1,15,10,1062,1101,55
46,144,1.0,-1,1076.0,-1,17,7,1076,1113,49
47,139,1.0,-1,1089.0,-1,12,8,1089,1177,47
48,135,1.0,-1,1106.0,-1,12,7,1106,1147,53
49,135,1.0,-1,1120.0,-1,10,8,1120,1147,53
50,140,1.0,-1,1130.0,-1,15,2,1130,1196,49
51,131,1.0,-1,1143.0,-1,15,6,1143,1174,57
52,145,1.0,-1,1157.0,-1,17,5,1157,1143,47
53,140,1.0,-1,1167.0,-1,12,4,1167,1192,47
54,129,1.0,-1,1180.0,-1,14,3,1180,1201,53
