env_name,mptcs_unique_observations,top_k_unique_observations,mptcs_mean_failure_rate,top_k_mean_failure_rate,mptcs_num_test_cases,top_k_num_test_cases,mptcs_failures_1_policies,top_k_failures_1_policies,mptcs_failures_2_policies,top_k_failures_2_policies,mptcs_failures_3_policies,top_k_failures_3_policies,mptcs_failures_4_policies,top_k_failures_4_policies,mptcs_failures_5_policies,top_k_failures_5_policies,mptcs_failures_6_policies,top_k_failures_6_policies,mptcs_failures_7_policies,top_k_failures_7_policies,mptcs_failures_8_policies,top_k_failures_8_policies,mptcs_failures_9_policies,top_k_failures_9_policies,mptcs_failures_10_policies,top_k_failures_10_policies,mptcs_failures_11_policies,top_k_failures_11_policies,mptcs_failures_12_policies,top_k_failures_12_policies,mptcs_failures_13_policies,top_k_failures_13_policies,mptcs_failures_14_policies,top_k_failures_14_policies,mptcs_failures_15_policies,top_k_failures_15_policies,mptcs_failures_16_policies,top_k_failures_16_policies,mptcs_failures_17_policies,top_k_failures_17_policies,mptcs_failures_18_policies,top_k_failures_18_policies,mptcs_failures_19_policies,top_k_failures_19_policies,mptcs_failures_20_policies,top_k_failures_20_policies
minatar-asterix,37832,27399,0.92659986,0.94999987,2500,2500,2379.0,2498.0,2433.0,2500.0,2215.0,2496.0,2306.0,206.0,2360.0,2348.0,2453.0,2500.0,2419.0,2499.0,2419.0,2500.0,2420.0,2499.0,2318.0,2498.0,2127.0,2500.0,2110.0,2496.0,2167.0,2500.0,2405.0,2470.0,1867.0,2492.0,2425.0,2500.0,2438.0,2499.0,2347.0,2500.0,2307.0,2500.0,2307.0,2500.0
minatar-asterix,36968,27399,0.92845994,0.94999987,2500,2500,2314.0,2498.0,2446.0,2500.0,2255.0,2496.0,2205.0,206.0,2393.0,2348.0,2459.0,2500.0,2427.0,2499.0,2416.0,2500.0,2406.0,2499.0,2209.0,2498.0,2162.0,2500.0,2157.0,2496.0,2195.0,2500.0,2401.0,2470.0,1948.0,2492.0,2431.0,2500.0,2445.0,2499.0,2416.0,2500.0,2321.0,2500.0,2321.0,2500.0
minatar-asterix,37364,27399,0.9279199,0.94999987,2500,2500,2252.0,2498.0,2385.0,2500.0,2169.0,2496.0,2244.0,206.0,2426.0,2348.0,2479.0,2500.0,2351.0,2499.0,2385.0,2500.0,2365.0,2499.0,2326.0,2498.0,2236.0,2500.0,2306.0,2496.0,2224.0,2500.0,2357.0,2470.0,1807.0,2492.0,2436.0,2500.0,2427.0,2499.0,2393.0,2500.0,2417.0,2500.0,2417.0,2500.0
minatar-asterix,36204,18776,0.9285227,0.9496598,2498,2500,2227.0,2494.0,2381.0,2499.0,2317.0,2500.0,2162.0,349.0,2359.0,2414.0,2458.0,2500.0,2404.0,2493.0,2343.0,2500.0,2332.0,2439.0,2322.0,2498.0,2244.0,2500.0,2294.0,2500.0,2188.0,2500.0,2419.0,2485.0,1945.0,2405.0,2385.0,2460.0,2429.0,2500.0,2382.0,2499.0,2403.0,2500.0,2403.0,2500.0
minatar-asterix,36296,27399,0.9266305,0.94999987,2499,2500,2357.0,2498.0,2402.0,2500.0,2271.0,2496.0,2230.0,206.0,2311.0,2348.0,2425.0,2500.0,2416.0,2499.0,2324.0,2500.0,2385.0,2499.0,2257.0,2498.0,2224.0,2500.0,2122.0,2496.0,2217.0,2500.0,2414.0,2470.0,1979.0,2492.0,2433.0,2500.0,2434.0,2499.0,2377.0,2500.0,2319.0,2500.0,2319.0,2500.0
minatar-asterix,42937,27399,0.92927986,0.94999987,2500,2500,2372.0,2498.0,2450.0,2500.0,2116.0,2496.0,2299.0,206.0,2421.0,2348.0,2469.0,2500.0,2411.0,2499.0,2382.0,2500.0,2395.0,2499.0,2224.0,2498.0,2149.0,2500.0,2299.0,2496.0,2186.0,2500.0,2443.0,2470.0,1665.0,2492.0,2416.0,2500.0,2447.0,2499.0,2441.0,2500.0,2444.0,2500.0,2444.0,2500.0
minatar-asterix,36963,27399,0.92845994,0.94999987,2500,2500,2314.0,2498.0,2446.0,2500.0,2255.0,2496.0,2205.0,206.0,2393.0,2348.0,2459.0,2500.0,2427.0,2499.0,2416.0,2500.0,2406.0,2499.0,2209.0,2498.0,2162.0,2500.0,2157.0,2496.0,2195.0,2500.0,2401.0,2470.0,1948.0,2492.0,2431.0,2500.0,2445.0,2499.0,2416.0,2500.0,2321.0,2500.0,2321.0,2500.0
minatar-asterix,38959,27399,0.93417346,0.94999987,2499,2500,2288.0,2498.0,2408.0,2500.0,2348.0,2496.0,2119.0,206.0,2377.0,2348.0,2442.0,2500.0,2409.0,2499.0,2369.0,2500.0,2399.0,2499.0,2369.0,2498.0,2264.0,2500.0,2219.0,2496.0,2059.0,2500.0,2436.0,2470.0,2126.0,2492.0,2431.0,2500.0,2451.0,2499.0,2408.0,2500.0,2369.0,2500.0,2369.0,2500.0
minatar-asterix,36713,27399,0.92628086,0.94999987,2498,2500,2368.0,2498.0,2443.0,2500.0,2231.0,2496.0,2212.0,206.0,2357.0,2348.0,2457.0,2500.0,2389.0,2499.0,2366.0,2500.0,2374.0,2499.0,2256.0,2498.0,2196.0,2500.0,2137.0,2496.0,2126.0,2500.0,2379.0,2470.0,1988.0,2492.0,2424.0,2500.0,2440.0,2499.0,2392.0,2500.0,2334.0,2500.0,2334.0,2500.0
minatar-asterix,35590,27399,0.9259103,0.94999987,2499,2500,2358.0,2498.0,2420.0,2500.0,2226.0,2496.0,2189.0,206.0,2369.0,2348.0,2450.0,2500.0,2360.0,2499.0,2388.0,2500.0,2397.0,2499.0,2246.0,2498.0,2196.0,2500.0,2167.0,2496.0,2160.0,2500.0,2398.0,2470.0,2043.0,2492.0,2387.0,2500.0,2435.0,2499.0,2337.0,2500.0,2366.0,2500.0,2366.0,2500.0
