generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
1,0,nan,-1,0.0,-1,4,0,0,2200,0,0,nan,-1,0.0,-1,4,0,0,33000,0
2,0,nan,-1,0.0,-1,3,0,0,2200,0,0,nan,-1,0.0,-1,3,0,0,33000,0
3,0,nan,-1,0.0,-1,3,0,0,2200,0,0,nan,-1,0.0,-1,3,0,0,33000,0
4,0,nan,-1,0.0,-1,3,0,0,2200,0,0,nan,-1,0.0,-1,3,0,0,33000,0
5,0,nan,-1,0.0,-1,4,0,0,2200,0,1,0.13333334,-1,0.13333334,-1,4,1,1,32992,0
6,0,nan,-1,0.0,-1,5,0,0,2200,0,1,0.13333334,-1,0.13333334,-1,5,0,1,32992,0
7,0,nan,-1,0.0,-1,0,0,0,2200,0,1,0.13333334,-1,0.13333334,-1,0,0,1,32992,0
8,0,nan,-1,0.0,-1,6,0,0,2200,0,1,0.13333334,-1,0.13333334,-1,6,0,1,32992,0
9,0,nan,-1,0.0,-1,2,0,0,2200,0,2,0.10000001,-1,0.20000002,-1,2,0,2,32991,0
10,0,nan,-1,0.0,-1,1,0,0,2200,0,1,0.10000001,-1,0.20000002,-1,1,0,2,32992,0
11,0,nan,-1,0.0,-1,7,0,0,2200,0,2,0.0888889,-1,0.26666668,-1,7,0,3,32987,0
12,0,nan,-1,0.0,-1,1,0,0,2200,0,1,0.0888889,-1,0.26666668,-1,1,0,3,32995,0
13,0,nan,-1,0.0,-1,6,0,0,2200,0,0,0.0888889,-1,0.26666668,-1,6,0,3,33000,0
14,0,nan,-1,0.0,-1,4,0,0,2200,0,1,0.15555556,-1,0.46666667,-1,4,1,3,32964,0
15,0,nan,-1,0.0,-1,4,0,0,2200,0,0,0.15555556,-1,0.46666667,-1,4,0,3,33000,0
16,0,nan,-1,0.0,-1,5,0,0,2200,0,0,0.15555556,-1,0.46666667,-1,5,0,3,33000,0
17,1,1.0,-1,1.0,-1,3,1,1,2198,0,1,0.15555556,-1,0.46666667,-1,3,0,3,32998,0
18,1,1.0,-1,1.0,-1,7,0,1,2198,0,1,0.15555556,-1,0.46666667,-1,7,0,3,32998,0
19,2,1.0,-1,2.0,-1,5,1,2,2186,0,3,0.35000002,-1,1.4000001,-1,5,2,4,32860,0
20,1,1.0,-1,2.0,-1,6,0,2,2194,0,3,0.3066667,-1,1.5333335,-1,6,1,5,32957,0
21,2,1.0,-1,3.0,-1,9,0,3,2187,0,5,0.38095245,-1,2.666667,-1,9,1,7,32818,0
22,2,1.0,-1,4.0,-1,12,1,4,2186,0,4,0.425,-1,3.4,-1,12,1,8,32866,0
