generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
1,3,1.0,-1,3.0,-1,53,0,3,2176,1,7,0.19047622,-1,1.3333335,-1,53,0,7,32765,1
2,2,1.0,-1,3.0,-1,36,0,3,2181,1,10,0.16363639,-1,1.8000002,-1,36,1,11,32752,1
3,4,1.0,-1,6.0,-1,40,2,6,2160,2,23,0.12500003,-1,3.0000005,-1,40,5,24,32544,2
4,29,1.0,-1,9.0,-1,38,2,9,1979,9,95,0.1982906,-1,7.7333336,-1,38,14,39,30702,9
5,53,1.0,-1,21.0,-1,37,5,21,1824,10,124,0.25762713,-1,15.200001,-1,37,10,59,28715,10
6,69,0.99999994,-1,41.0,-1,46,10,41,1665,10,131,0.3,-1,26.400002,-1,46,18,88,27388,10
7,70,1.0,-1,54.0,-1,35,7,54,1645,14,135,0.3277778,-1,35.4,-1,35,15,108,26341,14
8,85,1.0,-1,78.0,-1,32,13,78,1516,14,147,0.3794872,-1,49.333336,-1,32,23,130,24822,14
9,86,1.0,-1,89.0,-1,30,4,89,1502,18,140,0.38458052,-1,56.533337,-1,30,12,147,25336,18
10,78,1.0,-1,103.0,-1,27,7,103,1530,18,137,0.3891566,-1,64.6,-1,27,15,166,25084,18
11,85,1.0,-1,114.0,-1,25,5,114,1526,17,137,0.40109897,-1,73.00001,-1,25,18,182,25225,17
12,83,1.0,-1,117.0,-1,18,2,117,1481,18,142,0.408726,-1,78.066666,-1,18,13,191,24099,18
13,87,1.0,-1,129.0,-1,23,5,129,1500,11,143,0.42916673,-1,89.26668,-1,23,19,208,24928,11
14,80,1.0,-1,135.0,-1,17,5,135,1516,20,141,0.42587522,-1,93.26668,-1,17,13,219,23862,20
15,68,0.99999994,-1,141.0,-1,19,4,141,1613,18,133,0.43231446,-1,99.00001,-1,19,15,229,24447,18
16,75,1.0,-1,150.0,-1,11,9,150,1563,18,146,0.43585438,-1,103.73334,-1,11,15,238,24138,18
17,75,1.0,-1,157.0,-1,13,4,157,1428,32,124,0.44190478,-1,108.26668,-1,13,10,245,23347,32
18,65,0.99999994,-1,165.0,-1,19,4,165,1604,21,133,0.43092525,-1,113.33334,-1,19,13,263,24815,21
19,71,1.0,-1,174.0,-1,16,7,174,1588,16,140,0.43080628,-1,119.33334,-1,16,16,277,24600,16
20,87,1.0,-1,184.0,-1,15,8,184,1448,18,151,0.43977013,-1,127.53334,-1,15,24,290,23057,18
21,80,1.0,-1,191.0,-1,11,7,191,1442,26,138,0.44304642,-1,133.80002,-1,11,16,302,23056,26
22,77,1.0,-1,197.0,-1,19,3,197,1432,26,136,0.4394822,-1,135.8,-1,19,7,309,22837,26
23,72,1.0,-1,201.0,-1,20,4,201,1528,19,139,0.44261605,-1,139.86667,-1,20,14,316,23528,19
24,75,1.0,-1,210.0,-1,19,6,210,1478,22,135,0.4419453,-1,145.40001,-1,19,16,329,23417,22
25,80,1.0,-1,213.0,-1,10,3,213,1498,17,145,0.44537318,-1,149.20001,-1,10,18,335,23062,17
26,85,1.0,-1,221.0,-1,12,5,221,1458,19,142,0.44625857,-1,153.06668,-1,12,13,343,23827,19
27,75,0.99999994,-1,230.0,-1,11,8,230,1476,24,141,0.45122412,-1,159.73334,-1,11,17,354,23397,24
28,78,1.0,-1,241.0,-1,13,8,241,1539,16,148,0.44836956,-1,165.0,-1,13,12,368,24911,16
29,87,0.99999994,-1,244.0,-1,13,1,244,1453,20,143,0.44911346,-1,168.86667,-1,13,12,376,23714,20
30,86,1.0,-1,248.0,-1,13,2,248,1427,22,146,0.44818652,-1,173.0,-1,13,13,386,22828,22
31,94,1.0,-1,256.0,-1,8,7,256,1378,22,151,0.4523569,-1,179.13333,-1,8,20,396,22767,22
32,96,1.0,-1,261.0,-1,7,5,261,1389,14,153,0.45810243,-1,181.86667,-1,7,11,397,22374,14
33,81,1.0,-1,264.0,-1,7,3,264,1449,20,136,0.45858088,-1,185.26668,-1,7,10,404,23289,20
34,77,1.0,-1,267.0,-1,5,1,267,1458,22,141,0.46504465,-1,191.13335,-1,5,12,411,22712,22
35,91,1.0,-1,272.0,-1,8,4,272,1359,25,142,0.47162277,-1,196.66669,-1,8,10,417,22095,25
36,80,1.0,-1,275.0,-1,9,3,275,1458,20,141,0.4737422,-1,200.86668,-1,9,15,424,22602,20
37,74,1.0,-1,276.0,-1,8,1,276,1532,18,144,0.47285387,-1,203.80002,-1,8,8,431,23034,18
38,66,0.99999994,-1,282.0,-1,14,3,282,1457,37,118,0.4762557,-1,208.6,-1,14,9,438,22301,37
39,74,1.0,-1,285.0,-1,12,3,285,1489,23,137,0.4772558,-1,213.33334,-1,12,13,447,22857,23
40,81,1.0,-1,290.0,-1,6,3,290,1410,30,142,0.4800885,-1,217.0,-1,6,11,452,21441,30
41,95,1.0,-1,296.0,-1,17,1,296,1333,23,145,0.47953728,-1,221.06668,-1,17,9,461,21708,23
42,91,1.0,-1,304.0,-1,12,7,304,1403,18,143,0.47886527,-1,225.06668,-1,12,7,470,22826,18
43,89,1.0,-1,311.0,-1,16,4,311,1454,14,143,0.47747752,-1,229.66669,-1,16,11,481,23128,14
44,92,1.0,-1,315.0,-1,9,3,315,1400,19,137,0.47912392,-1,233.33334,-1,9,10,487,22623,19
45,77,1.0,-1,316.0,-1,8,0,316,1525,14,143,0.4802168,-1,236.26668,-1,8,11,492,22756,14
46,81,1.0,-1,324.0,-1,9,5,324,1476,20,140,0.47843924,-1,241.13336,-1,9,11,504,22297,20
47,76,0.99999994,-1,328.0,-1,10,4,328,1506,20,134,0.47688282,-1,242.73334,-1,10,9,509,23296,20
48,85,1.0,-1,331.0,-1,10,2,331,1411,26,148,0.47792888,-1,246.13336,-1,10,10,515,21087,26
49,88,1.0,-1,336.0,-1,7,4,336,1378,22,139,0.48048624,-1,250.33334,-1,7,14,521,21857,22
50,69,1.0,-1,340.0,-1,11,3,340,1445,29,131,0.4817491,-1,253.40002,-1,11,7,526,22423,29
51,90,1.0,-1,342.0,-1,7,2,342,1365,20,147,0.4818868,-1,255.40001,-1,7,8,530,21289,20
52,88,1.0,-1,349.0,-1,11,4,349,1445,17,148,0.47843143,-1,260.2667,-1,11,16,544,22667,17
53,91,1.0,-1,352.0,-1,7,2,352,1348,22,143,0.4766909,-1,263.13336,-1,7,9,552,21454,22
54,99,1.0,-1,358.0,-1,9,5,358,1290,21,144,0.47653008,-1,267.33337,-1,9,14,561,21367,21
55,80,1.0,-1,363.0,-1,6,4,363,1486,21,138,0.47629106,-1,270.53333,-1,6,17,568,22387,21
56,97,1.0,-1,368.0,-1,5,3,368,1377,18,161,0.47969756,-1,274.8667,-1,5,11,573,21073,18
57,70,1.0,-1,370.0,-1,10,1,370,1464,26,141,0.47923878,-1,277.0,-1,10,7,578,21667,26
58,92,1.0,-1,375.0,-1,8,4,375,1393,18,140,0.4777967,-1,280.46667,-1,8,11,587,21976,18
59,79,1.0,-1,377.0,-1,8,2,377,1530,13,149,0.4762864,-1,283.8667,-1,8,11,596,22977,13
60,73,0.99999994,-1,378.0,-1,3,1,378,1451,26,142,0.47811118,-1,286.8667,-1,3,12,600,21405,26
61,73,1.0,-1,381.0,-1,8,2,381,1466,28,129,0.47799784,-1,289.6667,-1,8,7,606,21997,28
62,71,1.0,-1,383.0,-1,7,2,383,1500,25,144,0.4784251,-1,295.6667,-1,7,17,618,22015,25
63,80,1.0,-1,387.0,-1,9,3,387,1445,23,143,0.4785257,-1,298.60004,-1,9,13,624,22425,23
64,81,1.0,-1,390.0,-1,11,2,390,1392,26,129,0.47779548,-1,300.53336,-1,11,5,629,21620,26
65,73,1.0,-1,393.0,-1,6,3,393,1453,27,131,0.47827008,-1,302.2667,-1,6,8,632,21982,27
66,75,1.0,-1,394.0,-1,6,1,394,1465,24,141,0.47805646,-1,305.00003,-1,6,10,638,21614,24
67,81,0.99999994,-1,397.0,-1,5,3,397,1448,21,138,0.4797508,-1,308.00003,-1,5,8,642,21991,21
68,77,1.0,-1,398.0,-1,11,1,398,1375,32,134,0.47932106,-1,310.60004,-1,11,5,648,20853,32
69,90,1.0,-1,404.0,-1,6,5,404,1439,16,149,0.48422667,-1,316.2,-1,6,14,653,21765,16
70,84,1.0,-1,406.0,-1,5,2,406,1400,24,137,0.48740518,-1,321.2,-1,5,15,659,21333,24
71,74,1.0,-1,412.0,-1,2,5,412,1445,27,147,0.49107412,-1,324.6,-1,2,9,661,22168,27
72,88,1.0,-1,416.0,-1,7,3,416,1383,20,141,0.4897898,-1,326.2,-1,7,3,666,21620,20
