generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
1,0,nan,-1,0.0,-1,21,0,0,2200,0,0,nan,-1,0.0,-1,21,0,0,33000,0
2,0,nan,-1,0.0,-1,10,0,0,2200,0,0,nan,-1,0.0,-1,10,0,0,33000,0
3,0,nan,-1,0.0,-1,5,0,0,2200,0,0,nan,-1,0.0,-1,5,0,0,33000,0
4,0,nan,-1,0.0,-1,5,0,0,2200,0,1,0.73333335,-1,0.73333335,-1,5,0,1,32908,0
5,0,nan,-1,0.0,-1,2,0,0,2200,0,1,0.73333335,-1,0.73333335,-1,2,0,1,32908,0
6,1,1.0,-1,1.0,-1,3,0,1,2193,0,2,0.5777778,-1,1.7333333,-1,3,1,3,32875,0
7,1,1.0,-1,1.0,-1,1,0,1,2193,0,2,0.5777778,-1,1.7333333,-1,1,0,3,32875,0
8,2,1.0,-1,2.0,-1,0,1,2,2188,0,3,0.4666667,-1,1.8666668,-1,0,1,4,32865,0
9,4,1.0,-1,4.0,-1,3,2,4,2158,1,5,0.5666667,-1,3.4,-1,3,2,6,32486,1
10,3,1.0,-1,5.0,-1,0,1,5,2158,2,7,0.42,-1,4.2,-1,0,4,10,32506,2
11,2,1.0,-1,6.0,-1,0,1,6,2173,1,5,0.40555558,-1,4.866667,-1,0,2,12,32685,1
12,0,1.0,-1,6.0,-1,1,0,6,2182,2,3,0.37948725,-1,4.933334,-1,1,1,13,32700,2
13,1,1.0,-1,7.0,-1,2,1,7,2173,2,6,0.40784314,-1,6.9333334,-1,2,4,17,32534,2
14,1,1.0,-1,7.0,-1,0,0,7,2172,2,6,0.37192982,-1,7.0666666,-1,0,2,19,32559,2
15,2,1.0,-1,8.0,-1,1,1,8,2162,3,7,0.3507247,-1,8.066668,-1,1,5,23,32387,3
16,3,1.0,-1,9.0,-1,0,1,9,2170,2,9,0.34102565,-1,8.866667,-1,0,4,26,32505,2
17,2,1.0,-1,11.0,-1,2,1,11,2169,2,10,0.33333337,-1,10.000001,-1,2,5,30,32525,2
18,1,1.0,-1,12.0,-1,2,1,12,2163,4,9,0.35268822,-1,10.933335,-1,2,2,31,32309,4
19,4,1.0,-1,14.0,-1,2,1,14,2134,4,17,0.34774777,-1,12.866668,-1,2,7,37,31964,4
20,5,1.0,-1,15.0,-1,3,1,15,2142,3,16,0.3649123,-1,13.866668,-1,3,4,38,32133,3
21,2,1.0,-1,16.0,-1,5,0,16,2153,3,16,0.38290602,-1,14.933334,-1,5,1,39,32226,3
22,3,1.0,-1,19.0,-1,4,2,19,2154,3,20,0.37727275,-1,16.6,-1,4,3,44,32310,3
23,5,1.0,-1,21.0,-1,11,2,21,2147,2,27,0.3660131,-1,18.666668,-1,11,6,51,32240,2
24,7,1.0,-1,26.0,-1,9,4,26,2132,2,32,0.3976191,-1,22.266668,-1,9,9,56,32034,2
25,6,1.0,-1,27.0,-1,14,0,27,2121,4,36,0.3935484,-1,24.400002,-1,14,3,62,31705,4
26,85,1.0,-1,43.0,-1,32,4,43,1360,13,159,0.48449618,-1,41.66667,-1,32,16,86,20473,13
27,101,1.0,-1,70.0,-1,52,3,70,1238,9,173,0.51212126,-1,67.600006,-1,52,8,132,20057,9
28,141,1.0,-1,111.0,-1,63,1,111,890,7,180,0.5522282,-1,103.26667,-1,63,10,187,17912,7
29,120,1.0,-1,151.0,-1,74,4,151,1026,13,172,0.5719729,-1,140.13336,-1,74,9,245,17874,13
30,132,1.0,-1,179.0,-1,47,1,179,917,8,178,0.57677126,-1,165.53336,-1,47,15,287,17633,8
31,126,1.0,-1,212.0,-1,56,6,212,978,10,175,0.5861524,-1,197.53336,-1,56,21,337,17819,10
32,134,1.0,-1,258.0,-1,62,7,258,920,11,177,0.60203046,-1,237.20001,-1,62,15,394,16899,11
33,134,1.0,-1,290.0,-1,59,6,290,883,11,178,0.60767496,-1,269.2,-1,59,20,443,16413,11
34,139,1.0,-1,311.0,-1,38,3,311,816,15,177,0.61113465,-1,289.06668,-1,38,25,473,15604,15
