generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
1,4,1.0,-1,4.0,-1,41,0,4,2104,12,6,0.73333335,-1,4.4,-1,41,0,6,31530,12
2,8,1.0,-1,9.0,-1,30,1,9,2015,23,11,0.6820513,-1,8.866667,-1,30,1,13,30210,23
3,13,1.0,-1,17.0,-1,26,2,17,1912,37,18,0.7360001,-1,18.400003,-1,26,3,25,28485,37
4,19,1.0,-1,29.0,-1,28,6,29,1823,47,24,0.7566667,-1,30.266668,-1,28,6,40,27182,47
5,121,1.0,-1,72.0,-1,58,10,72,1208,60,140,0.8193799,-1,70.466675,-1,58,22,86,18371,60
6,117,1.0,-1,111.0,-1,64,11,111,1170,71,129,0.8348959,-1,106.86668,-1,64,19,128,17749,71
7,127,1.0,-1,143.0,-1,50,8,143,1146,61,139,0.8451347,-1,136.06668,-1,50,22,161,17823,61
8,126,1.0,-1,171.0,-1,39,8,171,1223,52,148,0.84691364,-1,160.06668,-1,39,17,189,18566,52
9,120,1.0,-1,201.0,-1,44,9,201,1194,60,140,0.848949,-1,188.46667,-1,44,14,222,18036,60
10,124,1.0,-1,236.0,-1,49,6,236,1184,56,144,0.8533335,-1,221.8667,-1,49,14,260,18211,56
11,130,1.0,-1,274.0,-1,50,8,274,1169,53,147,0.8528429,-1,255.00003,-1,50,16,299,18321,53
12,114,1.0,-1,297.0,-1,43,6,297,1250,59,141,0.849899,-1,280.46667,-1,43,14,330,18452,59
13,108,1.0,-1,323.0,-1,44,7,323,1250,66,134,0.8491131,-1,303.13336,-1,44,12,357,18316,66
14,129,1.0,-1,357.0,-1,44,7,357,1203,52,148,0.84725744,-1,334.6667,-1,44,9,395,18621,52
15,126,1.0,-1,390.0,-1,47,5,390,1182,57,143,0.8488069,-1,367.5334,-1,47,12,433,18098,57
16,127,1.0,-1,414.0,-1,36,4,414,1171,55,145,0.8479711,-1,390.0667,-1,36,14,460,18449,55
17,127,0.99999994,-1,437.0,-1,38,9,437,1186,54,146,0.84689856,-1,414.1334,-1,38,19,489,18241,54
18,113,1.0,-1,458.0,-1,43,4,458,1175,71,129,0.8479897,-1,435.8667,-1,43,11,514,18077,71
19,124,1.0,-1,485.0,-1,34,12,485,1208,52,148,0.84747857,-1,459.33337,-1,34,19,542,18732,52
20,115,1.0,-1,509.0,-1,36,6,509,1188,63,137,0.84705204,-1,483.66672,-1,36,20,571,18301,63
21,119,1.0,-1,530.0,-1,32,10,530,1225,60,140,0.8499718,-1,502.33334,-1,32,18,591,18506,60
22,117,1.0,-1,552.0,-1,33,7,552,1203,62,138,0.8532899,-1,523.0667,-1,33,16,613,18338,62
23,116,1.0,-1,570.0,-1,36,3,570,1185,62,138,0.85371256,-1,540.4,-1,36,8,633,18321,62
24,116,1.0,-1,590.0,-1,38,7,590,1162,65,135,0.85437,-1,560.46674,-1,38,20,656,18093,65
25,123,1.0,-1,611.0,-1,15,16,611,1198,57,143,0.8533728,-1,577.7334,-1,15,22,677,18142,57
26,129,1.0,-1,645.0,-1,30,13,645,1205,49,151,0.8542724,-1,606.53345,-1,30,19,710,18328,49
27,117,0.99999994,-1,664.0,-1,30,5,664,1195,65,135,0.8572475,-1,624.9334,-1,30,20,729,18214,65
28,122,1.0,-1,680.0,-1,28,3,680,1163,65,135,0.85915,-1,640.0667,-1,28,12,745,18136,65
29,118,1.0,-1,694.0,-1,18,8,694,1235,59,141,0.8605344,-1,654.8667,-1,18,17,761,18223,59
30,140,1.0,-1,717.0,-1,25,10,717,1174,43,156,0.86156464,-1,675.4667,-1,25,18,784,18491,43
31,129,1.0,-1,734.0,-1,27,6,734,1304,39,161,0.8627792,-1,695.4,-1,27,20,806,18893,39
32,134,1.0,-1,760.0,-1,16,14,760,1210,47,153,0.8637647,-1,714.3334,-1,16,18,827,18417,47
33,122,1.0,-1,780.0,-1,28,10,780,1148,69,131,0.8647777,-1,732.46674,-1,28,14,847,17939,69
34,118,1.0,-1,802.0,-1,25,6,802,1196,63,137,0.8663606,-1,754.6001,-1,25,14,871,18042,63
35,121,1.0,-1,814.0,-1,20,6,814,1245,55,145,0.8660648,-1,767.3334,-1,20,14,886,18337,55
36,129,1.0,-1,829.0,-1,19,8,829,1192,54,146,0.8677741,-1,783.60004,-1,19,18,903,18259,54
37,120,1.0,-1,842.0,-1,15,6,842,1205,61,139,0.8680481,-1,796.0001,-1,15,8,917,18450,61
38,122,1.0,-1,864.0,-1,19,10,864,1179,64,136,0.8683743,-1,813.66675,-1,19,16,937,18136,64
39,131,1.0,-1,886.0,-1,22,12,886,1179,54,146,0.86875445,-1,832.2667,-1,22,15,958,18210,54
40,136,1.0,-1,903.0,-1,20,8,903,1179,46,154,0.86946154,-1,850.3334,-1,20,15,978,18231,46
41,119,0.99999994,-1,917.0,-1,15,7,917,1155,64,136,0.8701543,-1,864.9334,-1,15,19,994,18125,64
42,134,1.0,-1,931.0,-1,14,8,931,1192,49,151,0.8705611,-1,879.2667,-1,14,19,1010,18529,49
43,128,0.99999994,-1,949.0,-1,22,10,949,1149,59,141,0.87211424,-1,896.53345,-1,22,22,1028,17841,59
44,138,1.0,-1,964.0,-1,17,9,964,1172,47,153,0.87281466,-1,908.6001,-1,17,16,1041,18187,47
45,120,0.99999994,-1,976.0,-1,16,6,976,1162,64,136,0.87452483,-1,920.0001,-1,16,20,1052,17925,64
46,118,1.0,-1,986.0,-1,12,8,986,1209,60,140,0.87506276,-1,931.0668,-1,12,17,1064,17933,60
47,113,1.0,-1,999.0,-1,14,8,999,1236,66,134,0.8750155,-1,943.2667,-1,14,16,1078,18045,66
48,128,1.0,-1,1017.0,-1,11,10,1017,1135,60,140,0.87451345,-1,958.46674,-1,11,13,1096,17856,60
49,117,1.0,-1,1029.0,-1,8,8,1029,1224,60,140,0.875331,-1,969.86676,-1,8,20,1108,17942,60
50,122,1.0,-1,1043.0,-1,18,8,1043,1204,58,142,0.87569016,-1,983.4,-1,18,16,1123,18076,58
51,130,1.0,-1,1062.0,-1,14,9,1062,1186,53,146,0.8762989,-1,1000.7334,-1,14,18,1142,17786,53
52,113,1.0,-1,1080.0,-1,25,8,1080,1223,59,141,0.87572384,-1,1018.4668,-1,25,11,1163,17991,59
53,124,1.0,-1,1094.0,-1,13,9,1094,1141,63,137,0.87690145,-1,1033.8668,-1,13,19,1179,18232,63
54,122,1.0,-1,1108.0,-1,15,8,1108,1187,60,140,0.87713414,-1,1044.6667,-1,15,13,1191,17830,60
55,125,1.0,-1,1123.0,-1,14,10,1123,1201,60,140,0.8779624,-1,1057.0668,-1,14,18,1204,18389,60
56,138,1.0,-1,1143.0,-1,8,17,1143,1168,48,152,0.87751436,-1,1073.2001,-1,8,22,1223,18073,48
57,139,1.0,-1,1155.0,-1,4,8,1155,1183,44,156,0.878066,-1,1083.5334,-1,4,12,1234,18408,44
58,106,1.0,-1,1164.0,-1,9,8,1164,1215,62,138,0.87800974,-1,1094.0001,-1,9,16,1246,17839,62
59,127,0.99999994,-1,1177.0,-1,9,10,1177,1183,56,144,0.8794056,-1,1104.5334,-1,9,16,1256,18209,56
60,131,1.0,-1,1192.0,-1,15,7,1192,1192,51,149,0.88043094,-1,1117.2668,-1,15,16,1269,17960,51
61,131,1.0,-1,1207.0,-1,14,8,1207,1204,50,150,0.88090426,-1,1130.2002,-1,14,16,1283,18356,50
62,125,1.0,-1,1216.0,-1,13,6,1216,1212,58,142,0.88149875,-1,1137.1334,-1,13,13,1290,18274,58
63,131,1.0,-1,1229.0,-1,9,8,1229,1171,53,147,0.88168085,-1,1147.0668,-1,9,12,1301,17795,53
64,128,1.0,-1,1240.0,-1,13,3,1240,1157,60,140,0.88220364,-1,1158.3334,-1,13,10,1313,17825,60
65,113,1.0,-1,1249.0,-1,13,5,1249,1177,72,128,0.8825902,-1,1167.6667,-1,13,8,1323,17809,72
66,123,1.0,-1,1262.0,-1,7,10,1262,1201,55,145,0.8825589,-1,1177.3335,-1,7,14,1334,17906,55
67,120,1.0,-1,1274.0,-1,11,5,1274,1261,52,148,0.88249266,-1,1189.6001,-1,11,15,1348,18247,52
68,125,1.0,-1,1285.0,-1,6,9,1285,1162,64,136,0.88316166,-1,1199.3335,-1,6,20,1358,17654,64
69,122,0.99999994,-1,1293.0,-1,6,5,1293,1200,58,142,0.88415146,-1,1206.8667,-1,6,20,1365,18177,58
70,127,1.0,-1,1302.0,-1,7,6,1302,1236,52,148,0.88494545,-1,1216.8,-1,7,13,1375,18234,52
71,130,1.0,-1,1307.0,-1,10,2,1307,1177,56,144,0.88599044,-1,1222.6667,-1,10,16,1380,18009,56
72,128,0.99999994,-1,1317.0,-1,15,4,1317,1177,56,144,0.8858717,-1,1233.1334,-1,15,10,1392,17909,56
73,124,1.0,-1,1323.0,-1,5,4,1323,1166,60,140,0.8866,-1,1239.4668,-1,5,14,1398,17860,60
74,135,1.0,-1,1330.0,-1,4,6,1330,1177,49,151,0.8870227,-1,1246.2668,-1,4,15,1405,18063,49
75,121,1.0,-1,1338.0,-1,3,7,1338,1192,59,141,0.8878337,-1,1252.7334,-1,3,12,1411,18034,59
76,127,1.0,-1,1350.0,-1,8,8,1350,1235,51,149,0.8879044,-1,1262.6001,-1,8,12,1422,18282,51
77,124,1.0,-1,1354.0,-1,9,2,1354,1191,61,139,0.8879553,-1,1268.0001,-1,9,9,1428,17940,61
78,129,1.0,-1,1375.0,-1,15,13,1375,1194,54,146,0.88807553,-1,1285.9333,-1,15,21,1448,18178,54
79,125,1.0,-1,1389.0,-1,12,7,1389,1175,60,140,0.8879782,-1,1300.0001,-1,12,18,1464,18227,60
80,123,1.0,-1,1393.0,-1,6,3,1393,1180,58,142,0.8881487,-1,1306.4668,-1,6,13,1471,17795,58
81,138,1.0,-1,1400.0,-1,8,4,1400,1112,50,150,0.8891448,-1,1313.2668,-1,8,14,1477,17859,50
82,124,1.0,-1,1408.0,-1,8,5,1408,1186,60,140,0.88950205,-1,1321.8,-1,8,13,1486,18093,60
83,118,1.0,-1,1416.0,-1,4,5,1416,1163,67,133,0.88990176,-1,1327.7334,-1,4,14,1492,17653,67
84,136,1.0,-1,1429.0,-1,10,6,1429,1136,52,148,0.89013094,-1,1337.8668,-1,10,8,1503,17851,52
85,127,1.0,-1,1438.0,-1,10,6,1438,1174,60,140,0.89029986,-1,1346.1334,-1,10,10,1512,18141,60
86,112,1.0,-1,1446.0,-1,6,6,1446,1126,75,125,0.8904231,-1,1354.3335,-1,6,11,1521,17456,75
87,112,1.0,-1,1450.0,-1,5,1,1450,1225,65,135,0.8904731,-1,1361.5334,-1,5,6,1529,17955,65
88,127,1.0,-1,1458.0,-1,15,4,1458,1197,56,144,0.89071196,-1,1368.1335,-1,15,9,1536,17739,56
89,129,1.0,-1,1467.0,-1,13,4,1467,1194,56,144,0.89078385,-1,1378.9333,-1,13,16,1548,18207,56
